0.00 3.70 SPEAKER_00  Hello and welcome to the first Left on Red of 2024.
188.48 201.52 SPEAKER_01  Well, the way I see, I sort of thought about it as we were reading it, is it's, especially as we get beyond the chemistry of the early pages, which is sort of the relationship between chemistry and industrial slaughter.
201.72 201.80 SPEAKER_01  Yes.
202.10 210.36 SPEAKER_01  And how many of the chemicals used in the industrial slaughter of people in either World War I or World War II were just originally intended as like dyes.
210.54 210.80 SPEAKER_00  Yeah.
211.56 212.34 SPEAKER_01  Prussian blue.
212.84 213.18 SPEAKER_01  Indeed.
213.18 230.36 SPEAKER_01  But, you know, much of the meat of the book is about quantum mechanics and specifically about coming to terms with the fact, I think, that that wiggish assumption that many scientists have that the world is completely understandable given enough time, right?
230.44 233.72 SPEAKER_01  Give me a long enough lever and I will understand the sun.
233.72 238.20 SPEAKER_00  Well, the sort of biggest proponents of this in the book is Albert Einstein.
239.58 239.84 SPEAKER_00  Indeed.
240.44 244.90 SPEAKER_00  And so he's, you may remember sort of a dictum of his, right?
244.92 246.98 SPEAKER_00  Which is that God does not play dice with the universe.
246.98 253.42 SPEAKER_00  And that's often kind of cited in an imagined tone of relaxation, right?
253.60 257.30 SPEAKER_00  That he's sort of just stating this.
257.52 258.32 SPEAKER_00  Yeah, exactly.
258.84 273.64 SPEAKER_00  And what it actually is, in context, is the end of a multi-day conference in physics in which Einstein's entire worldview has been dismantled by the Copenhagen interpretation of quantum mechanics.
273.64 277.22 SPEAKER_00  And he sort of, he throws this in Niels Bohr's face.
277.38 283.34 SPEAKER_00  It's like sort of spiteful and defensive and baffled where he says, God doesn't play dice with the universe.
283.64 291.64 SPEAKER_00  And what is much less well remembered is Niels Bohr's sort of answer to him, which is, it's not our place to tell him how to run the universe.
291.64 304.76 SPEAKER_00  Which is funny, but it's, it also sort of like, this is a story about how quantum mechanics sort of exploded a bunch of old world certainties.
305.32 305.44 SPEAKER_01  Yeah.
305.50 313.46 SPEAKER_01  The way I saw it is, as I say, like there is, there is this old world certainty that with enough, with a long enough lever, you can understand anything, so to speak.
313.46 320.68 SPEAKER_01  And that comes up against the actual maximum observable data.
321.18 326.04 SPEAKER_01  And we know there's more out there, but there is simply, the universe has a resolution.
326.26 326.54 SPEAKER_01  Yes.
326.68 327.10 SPEAKER_01  Basically.
327.36 328.94 SPEAKER_01  And it's approximately the Planck length.
329.06 330.14 SPEAKER_01  That is the pixel length.
330.42 332.20 SPEAKER_01  That is the pixel of the universe.
332.20 336.64 SPEAKER_00  For me, the most interesting part of the book is the chapter about Karl Schwarzschild, right?
337.32 348.62 SPEAKER_00  Sort of Austrian physicist and astronomer, found himself as a commanding an artillery unit in the First World War and his sort of like strange, obsessive passions.
349.74 354.20 SPEAKER_00  Because he was like, you know, like all of these men, he was sort of possessed by genius.
354.98 358.82 SPEAKER_00  And he has these sort of wide ranging scientific interests.
358.82 363.18 SPEAKER_00  But there's a great detail here, which I'm going to read.
363.50 368.86 SPEAKER_00  When he left Gürtingen to oversee the observatory in Potsdam, his replacement nearly quit before his appointment had begun.
369.30 383.28 SPEAKER_00  Upon taking an inventory in order to determine how badly the facilities had suffered under Schwarzschild, he found a transparency of the Venus de Milo inside the focal plane of the largest telescope, arranged in such a way that the stars of Cassiopeia outlined the goddess's arms.
383.82 385.64 SPEAKER_00  An interesting man, right?
385.64 395.92 SPEAKER_00  He is ultimately destroyed by the First World War, but he's also destroyed by the sort of realization that he has.
395.96 397.96 SPEAKER_00  He theorizes the black hole, right?
399.30 414.58 SPEAKER_00  And he realizes that there is this thing that can exist in the universe that, you know, from which no light can escape, which absolutely fucks our conceptions of like space and time.
415.88 422.86 SPEAKER_00  And there is a radius, a Schwarzschild radius from which like nothing can escape.
422.86 431.82 SPEAKER_00  As he is sort of like lying in a field hospital, dying of the effects of having been subjected to poison gas.
431.82 465.72 SPEAKER_00  He says, possible trajectories led irrevocably to the singularity.
466.46 478.90 SPEAKER_01  And I think that the parallels, there are lots of parallels drawn in this book between the scientific discovery and like the political developments of the age.
479.00 480.70 SPEAKER_01  I think that's obvious, that's a writerly stroke.
480.70 491.38 SPEAKER_00  Well, he says as much there because he says afterwards, If matter were prone to birthing monsters of this kind, Schwarzschild asked with a trembling voice, were there correlations with the human psyche?
492.04 502.48 SPEAKER_00  Could a sufficient concentration of human will, millions of people exploited for a single end with their minds compressed into the same psychic space, unleash something comparable to the singularity?
502.48 504.72 SPEAKER_00  And this is sort of one of the key things of the book.
504.82 523.14 SPEAKER_00  It alludes, of course, to fascism and the First World War, which Schwarzschild is dying in at that moment as being this kind of tipping point into a place in which things come apart, in which sort of the natural laws that we've observed cease making sense.
523.14 532.76 SPEAKER_00  And our certainties become contradictory and strange and unusual.
533.10 534.18 SPEAKER_01  Quite literally contradictory.
534.64 536.72 SPEAKER_01  Space becomes time, time becomes space.
538.72 544.06 SPEAKER_01  Nothing becomes, quite literally nothing, becomes bendable.
544.64 550.68 SPEAKER_01  It is described in the book as this great inverting.
550.68 550.86 SPEAKER_01  Yeah.
551.42 559.26 SPEAKER_01  You know, and if you want to talk, if you like, if you want to talk about fascism as a kind of, um, black hole, a black sun.
559.64 559.84 SPEAKER_01  Yeah.
560.30 560.94 SPEAKER_01  Yeah, indeed.
561.16 569.08 SPEAKER_01  But a black hole that consumes everything it touches, um, then, you know, I think it's the black hole is actually a great metaphor for it.
569.26 569.54 SPEAKER_00  Absolutely.
570.12 575.30 SPEAKER_00  Um, and the thing is, we can, we can also talk about the beginning of the book, which is the least fictionalized bit.
575.78 588.48 SPEAKER_00  Um, which is, this is the chemistry bit and, you know, it talks in large part about, not Prussian blue and prussic acid, uh, which is, don't quote me on this because I'm not sure if it's the right first part of that compound, but hydrogen cyanide specifically.
589.10 600.68 SPEAKER_00  Um, and yeah, this being invented as a dye and then sort of making its way into a, into a pesticide, um, it's described as an elegant pesticide.
600.68 605.12 SPEAKER_00  Uh, and then it's, it's a use for sort of mass slaughter in the Holocaust and for genocide.
605.12 614.80 SPEAKER_01  But, um, but equally, uh, of how that, that same process, um, enabled how many billions more people to live by creating nitrogen fertilizers.
614.80 614.84 SPEAKER_00  Yeah.
614.90 616.02 SPEAKER_00  So this is, this is a profile.
616.02 626.58 SPEAKER_01  These, this is, these things are always put in, you know, what, what Labatha does is he always, he takes these sort of opposed concepts and loves putting them together again and again.
626.58 626.66 SPEAKER_00  Yeah.
626.80 634.94 SPEAKER_00  So this is in large part a profile of Fritz Haber, uh, Fritz Haber who was the, if World War I was the chemist's war, Fritz Haber was the chemist, right?
634.96 637.04 SPEAKER_00  He was responsible for the first chemical warfare.
637.54 644.68 SPEAKER_00  Um, but he was also responsible for, uh, the Haber-Bosch process, which is what allows us to synthesize nitrogen.
645.14 650.96 SPEAKER_00  Um, and it's something that Labatha associates directly with the population boom after the war.
650.96 664.10 SPEAKER_00  Um, he says it's the most important chemical discovery of the 20th century by doubling the amount of disposable nitrogen provoked the demographic explosion that took the human population from 1.6 to 7 billion in fewer than a hundred years.
664.74 670.96 SPEAKER_00  It's, uh, you know, as, as he says, nearly 50% of the nitrogen atoms in our body are artificially created today.
670.96 676.02 SPEAKER_00  More than half the world's population depends on foodstuffs fertilized thanks to Haber's invention.
676.02 680.78 SPEAKER_00  Uh, the modern world could not exist without the man who pulled bread from air.
681.22 691.54 SPEAKER_00  Um, and he did it because, uh, Germany was blockaded from accessing Chilean nitrates, uh, which it needed to, uh, to make explosives, to make gunpowder.
691.82 696.66 SPEAKER_00  He, he sort of like, he provoked, uh, this agricultural revolution.
696.92 698.50 SPEAKER_00  He prolonged the first world war.
698.58 700.32 SPEAKER_00  He made it significantly worse and bloody.
700.32 708.78 SPEAKER_00  And we, we, we see that his, uh, his wife, uh, sort of kills herself to remonstrate with him.
709.22 715.60 SPEAKER_00  He, you know, he, he directs this gas attack on French troops, which is, you know, uh, horrible with chlorine gas.
716.10 728.32 SPEAKER_00  Um, and he, uh, his wife, uh, shoots herself with his, his service revolver and he's left, you know, he, he sort of buries himself in, in, in work of both chemical warfare and then agricultural.
728.88 769.36 SPEAKER_00  And as the end of the chapter, uh, says among the few possessions Fritz Haber had with him when he died was a letter written to his wife in it, he confessed that he felt an unbearable guilt, not for the part he had played directly or indirectly in the death of untold human beings, but because his method of extracting nitrogen from the air had so altered the natural equilibrium of the planet that he feared the world's future belonged not to mankind, but to plants as all that was needed was a drop in population to pre-modern levels for just a few decades to allow them to grow without limit, taking advantage of the excess nutrients humanity had bestowed upon them, spread out across the earth and cover it completely, suffocating all forms of life beneath a terrible verdure.
769.70 773.48 SPEAKER_00  And so this is the sort of Malthusian horror of the book.
773.50 784.24 SPEAKER_00  And we come back to this at the end is that like chemistry has destabilized the world to the point that, uh, we have overpopulated and overnourished and oversaturated the world.
784.24 796.76 SPEAKER_00  Um, and one of the consequences of this is, uh, the sort of uncertainties of quantum mechanics and of like, uh, certain developments in mathematics.
797.54 814.98 SPEAKER_01  Well, this is, this is in fact one of the reasons why the, um, especially for, uh, Grotendijk, one of the other, um, mathematicians talked about in the book, why they become, they become scared of their own discoveries because they know they've seen the atomic bomb, right?
815.38 842.90 SPEAKER_01  You know, Oppenheimer is kind of a character mentioned, but not really profiled, um, in the book, but you know, they, that they begin to see, oh, this, um, my, the doing of theoretical physics, the coming to understand the universe of the atom, uh, or the, the coming to understand how to pull nitrogen from the air, whether or not you're going to be a Malthusian, the person doing it was scared by it because it says, oh, we have given too much, uh, humans will become unbalanced in some way.
842.90 843.04 SPEAKER_00  Yeah.
843.16 856.50 SPEAKER_00  I mean, they mentioned in part, uh, in the chapter about also the last of us on HBO about Grotendijk, the, um, catastrophe theory, um, the ways in which a dynamic system loses its equilibrium and collapses, right?
856.50 876.90 SPEAKER_00  Um, and sort of humanity, earth, civilization, whatever is sort of like strongly implied to be one of these, um, because, uh, Grotendijk was one of these geniuses, someone who is like, and all of the scientists in this book are described this way as someone who does not resemble a human being, right?
876.90 883.52 SPEAKER_00  Someone who is sort of like quite alien is, uh, has sort of like discovered too much.
883.52 907.62 SPEAKER_00  And it's usually, you know, discovered through sort of like searing, like agonizing process of like sort of, uh, mental exertion, um, which they themselves don't fully understand, but they're sort of like carried forward through this sort of revelatory process that then fundamentally they realize is something that is extremely dangerous.
907.76 925.74 SPEAKER_00  And Grotendijk, the mathematician, uh, sort of not only does he abandon his work and sort of lose all interest in, in mathematics, but, uh, you know, one of his contemporaries tries to burn his papers on the basis that this is something that is too dangerous, um, that people should not know, uh, about this.
925.90 942.72 SPEAKER_00  And that, uh, you know, it, it sort of, uh, he, he says that they should, his student should renounce the violent, dangerous practice of mathematics in light of the hazards humanity was facing because it was not politicians who would destroy the planet, but scientists who are marching like sleepwalkers towards the apocalypse.
943.38 953.56 SPEAKER_01  And I mean, if you want to talk about scientists marching like sleepwalkers toward the apocalypse, just think about whether or not you believe this about AI, what computer scientists believe about themselves.
954.06 954.98 SPEAKER_01  Yeah, absolutely.
955.74 959.02 SPEAKER_01  They're saying scientists are sleepwalking earth towards the apocalypse.
959.50 959.96 SPEAKER_01  Thumbs up.
959.96 961.00 SPEAKER_01  Cool.
961.36 961.64 SPEAKER_00  Yeah.
961.76 963.06 SPEAKER_00  I mean, we're going to keep doing it.
963.14 963.34 SPEAKER_00  Yes.
963.60 971.98 SPEAKER_00  Um, because AI is another one of those things where we make the thing less clear and less accountable and less subjectable to a, to a schema, right?
972.02 972.86 SPEAKER_00  To, to laws.
973.50 975.90 SPEAKER_00  Um, and okay.
976.14 979.34 SPEAKER_01  It's, it's, it's the computer that, that contains emergent property.
979.36 979.70 SPEAKER_01  Exactly.
979.86 1004.08 SPEAKER_01  And we, we, we, in the episode we talked about most recently, even, I think it's worth coming back to the difference between complex versus complicated and how this is the story of, looking close enough of wanting a complex thing to be, to be merely complicated of wanting a, I, I, I have a, uh, that the metaphor I usually use or the simile I usually use to discern these two things as a carvers, the human brain.
1004.08 1019.52 SPEAKER_01  So apologize if you have also just heard me talk about this in the episode, but it just, I'll go back to it briefly, which is just that, uh, that, and even the map of the atom that sort of, you know, from, you know, GCSEs or, or, or grade 11, depending on where you're from, grade 10, whatever it is.
1019.94 1024.40 SPEAKER_01  Um, the map of the atom that, you know, a little planet with a littler moon orbiting it.
1024.44 1025.28 SPEAKER_01  It's like, ah, that's the proton.
1025.40 1025.94 SPEAKER_01  That's the electron.
1026.06 1026.54 SPEAKER_01  It's there.
1026.64 1027.64 SPEAKER_01  It orbits, et cetera.
1028.20 1028.46 SPEAKER_01  Right.
1028.86 1031.84 SPEAKER_01  That is something that you can imagine, right?
1031.88 1037.50 SPEAKER_01  That is something that, that if you can model it well enough, you can predict where it's going to be, what it is.
1037.74 1039.32 SPEAKER_01  In fact, it even is an it.
1039.32 1044.40 SPEAKER_01  It's a nice little ball surround that's, that's orbiting another ball and you can picture it in your mind.
1045.02 1049.58 SPEAKER_01  It's very difficult to picture things that are outside the realm of human experience entirely.
1050.18 1055.46 SPEAKER_01  It's very difficult to picture something that's so small, it doesn't generate information in the same way that you're used to.
1055.66 1056.82 SPEAKER_01  And it's very difficult.
1056.98 1061.66 SPEAKER_01  And it's, it's also very difficult to imagine things interacting in unpredictable ways.
1061.76 1068.60 SPEAKER_01  It's difficult to imagine that you could throw something and then its velocity would end up across the room, but its spin would stay near you.
1069.02 1069.66 SPEAKER_01  That's weird.
1069.66 1077.48 SPEAKER_01  And that's also very, very complex because the things that will cause those, those things to change are not even.
1077.80 1077.86 SPEAKER_01  Yeah.
1077.92 1078.68 SPEAKER_01  It's not that.
1079.18 1088.98 SPEAKER_01  And so, and so that's the same thing with AI is, you know, we have allowed, again, we have allowed, created a way for the computer to behave in emergent ways.
1089.22 1089.36 SPEAKER_00  Yeah.
1089.50 1099.38 SPEAKER_00  And so the treatment of quantum mechanics in this book is sort of the history of how the atom became complex rather than complicated, right?
1099.42 1106.66 SPEAKER_00  How it became something that was increasingly unknowable the more it was studied.
1106.88 1115.26 SPEAKER_00  And the more it was theorized, we went from this kind of like, what Schrodinger described as like this sort of, this hateful model of the atom, right?
1115.26 1133.66 SPEAKER_00  We have a nucleus and the electrons sort of spin around the outside to something whose properties we can only sort of get through some very complicated modeling or through a sort of acceptance of our own lack of knowledge.
1133.66 1146.94 SPEAKER_00  And this is the sort of divide in the book is between, in large part, Schrodinger and Heisenberg, right, is Schrodinger is trying to derive sort of like wave functions.
1147.18 1163.84 SPEAKER_00  He is trying to, it's described as like deriving all of the rules of Wimbledon, including the like length of sets and the color of like uniforms worn by the players from the like handful of tennis balls that are hit out of the stadium, right?
1163.92 1164.84 SPEAKER_00  He's trying to.
1164.98 1165.18 SPEAKER_00  Yeah.
1165.18 1167.98 SPEAKER_00  That was a very fun description.
1167.98 1168.14 SPEAKER_00  Yeah.
1168.14 1168.32 SPEAKER_00  Yeah.
1168.32 1168.42 SPEAKER_00  Yeah.
1168.42 1168.48 SPEAKER_00  Yeah.
1168.48 1179.44 SPEAKER_00  So he's trying to sort of like understand the function of the atom and this in sort of like in mathematical terms.
1180.16 1193.98 SPEAKER_00  And Heisenberg is sort of like, meanwhile, undergoing a quite Oppenheimer-like kind of like feverish Eastern mysticism where he's imagining like, he's imagining Hafiz and Goethe like sucking each other off.
1193.98 1199.16 SPEAKER_00  And in his room is he's like sweating out this fever on Heligoland, the sort of like North German island.
1200.58 1210.98 SPEAKER_00  And he sort of like has these rigid mathematical matrices that he's trying to apply and trying to.
1210.98 1218.78 SPEAKER_00  And this is another recurring theme is that so often this process of genius, it like allows for a result.
1218.94 1220.04 SPEAKER_00  It allows for an equation.
1220.04 1222.06 SPEAKER_00  It allows for like a waveform, whatever.
1222.06 1224.84 SPEAKER_00  And then you have no idea how you got to it.
1224.84 1230.20 SPEAKER_00  And you have to like work backwards and you are baffled at this sort of like strange result that you have.
1230.26 1231.62 SPEAKER_00  And you have no idea how you got there.
1232.26 1238.94 SPEAKER_01  Well, it's again, it's the process, just as the process of the thing that you are knowing is hard to understand.
1239.08 1241.48 SPEAKER_01  So too is the process by which you came to know it.
1241.74 1243.48 SPEAKER_01  It seems intuitively right.
1243.48 1244.64 SPEAKER_01  And then it all works.
1244.64 1247.58 SPEAKER_01  But you cannot show your work because you don't know what it was.
1247.58 1248.40 SPEAKER_00  Yeah, absolutely.
1249.02 1260.10 SPEAKER_00  But yeah, so as Schrodinger is saying here, if one followed its line of thinking to the ultimate consequences, darkness would infect the soul of physics.
1260.32 1273.22 SPEAKER_00  If Heisenberg triumphed, a fundamental aspect of the laws that govern the physical world would remain forever obscure, as if chance had somehow nested in the heart of matter and become inextricably bound to its most fundamental constituents.
1273.96 1275.88 SPEAKER_00  Someone had to stop him.
1276.32 1280.18 SPEAKER_00  Someone had to smash the box in which Heisenberg had trapped the atom.
1282.40 1293.44 SPEAKER_01  It's, um, the passage I had for this was when he, when Schrodinger was at the sanatorium, it says he tried to put them in order, but even this proved overwhelming.
1293.84 1294.52 SPEAKER_01  His papers.
1295.00 1297.72 SPEAKER_01  He was incapable of untangling which argument led to which conclusion.
1297.72 1302.88 SPEAKER_01  All that was clear was the equation on the final page, which seemed to capture perfectly the movement of an electron inside the atom.
1302.88 1305.88 SPEAKER_01  There's no evident connection between it and what he had written before.
1305.88 1315.82 SPEAKER_01  But in both cases, it's, um, he, so Schrodinger through, um, basically a kind of, um, heterastic fugue state.
1315.82 1316.14 SPEAKER_01  Yeah.
1317.22 1317.74 SPEAKER_01  Yeah.
1317.74 1326.26 SPEAKER_00  He does spend a large part of this book, uh, dreaming about, and then, like, molesting a teenage girl.
1326.38 1326.66 SPEAKER_00  Yes.
1327.16 1339.44 SPEAKER_00  Uh, but a teenage girl who is extremely precocious intellectually and scientifically, um, and who is, like, uh, it's ripping the magic mountain quite a lot, in that they are both, uh, sufferers of tuberculosis.
1339.60 1342.10 SPEAKER_00  They're in this sanatorium that is, like, snowed up in the Alps.
1342.10 1349.58 SPEAKER_00  Um, and he is trying to, sort of, derive this equation, um, at the same time.
1349.92 1358.72 SPEAKER_00  She's, sort of, like, more accepting of her own imminent death and of mysticism and of, sort of, of contradiction.
1358.72 1367.46 SPEAKER_00  And he has this, kind of, like, vision as she dies, this, sort of, like, horrible misogynist terror of her as the goddess Kali.
1368.06 1377.90 SPEAKER_00  Um, and it's, again, the, sort of, the, the Eastern mysticism in this book is reflective of a real trend amongst, you know, uh, physicists of the 20th century.
1377.90 1382.94 SPEAKER_00  Uh, Oppenheimer was not at all the worst, um, if you can say worst on this.
1382.94 1390.34 SPEAKER_00  Um, and, yeah, he, he, sort of, uh, the, the last thing she says to him.
1390.70 1392.66 SPEAKER_00  I no longer feel things as I did before.
1392.96 1394.40 SPEAKER_00  No ties bind me to others.
1394.54 1395.64 SPEAKER_00  I treasure no memories.
1395.78 1397.04 SPEAKER_00  No desires drive me onwards.
1397.70 1405.78 SPEAKER_00  My father, the sanatorium, this country, the mountain, the wind, the words that come from my mouth, all seem to me things as distant as the dream of a woman long dead.
1406.24 1411.00 SPEAKER_00  This body you see eats, grows, walks, talks, and smiles, but there is nothing left inside it but ashes.
1411.00 1415.66 SPEAKER_00  I have lost my fear of the night, Herr Schrodinger, and you should do the same.
1416.66 1434.50 SPEAKER_01  So this is, and sort of moving beyond, um, again, I think the, the relationship between the two of, I guess the, what is, what I wanted to know and I, what I sort of didn't really grasp is what is, is Labatou trying to, trying to say with the relationship between the two of them?
1434.56 1444.12 SPEAKER_01  Is it, is it a kind of seeing quantum mechanics as an expression of the death drive because it is effectively giving up on what can be known for sure?
1444.22 1444.34 SPEAKER_00  Yes.
1444.34 1445.78 SPEAKER_01  And so it takes a dying person.
1445.84 1446.72 SPEAKER_00  Yes, absolutely.
1446.88 1446.90 SPEAKER_00  Oh, okay.
1446.90 1447.54 SPEAKER_00  So I did understand it.
1447.54 1448.04 SPEAKER_00  Yeah, you did.
1448.16 1448.34 SPEAKER_00  Okay.
1448.34 1460.26 SPEAKER_00  It's fully, it's, it's fully a question of like acceptance of ambiguity, um, and acceptance of complexity and of not knowing, uh, of, of ceasing to understand the world, but of ceasing to need to, right?
1460.26 1478.62 SPEAKER_01  And the, or, or understanding the, understanding the, understanding the world as it can be understood, which has hard limits and beyond those limits is our PR information, but information that we cannot perceive of, or we cannot perceive or really even call him the Moksha nonce.
1478.62 1485.38 SPEAKER_00  Um, and yeah, we accidentally, we accidentally achieved enlightenment.
1485.86 1490.04 SPEAKER_00  Uh, this, this nonce has achieved enlightenment while sort of like groping a teenage girl.
1490.46 1491.92 SPEAKER_00  Um, and.
1492.88 1493.36 SPEAKER_00  That's right.
1493.44 1494.78 SPEAKER_00  That's, that's, that's very Chris Morris.
1495.00 1496.80 SPEAKER_00  This nonce has achieved enlightenment.
1496.80 1498.66 SPEAKER_00  This is the one person we didn't want to do it.
1498.94 1505.32 SPEAKER_01  Um, well, to be fair, you know, if you're going to get off the cycle of death and rebirth,
1505.42 1507.72 SPEAKER_00  I mean, that's someone we don't want being. That's, that's true.
1508.00 1518.58 SPEAKER_00  Uh, but so contrast this with Heisenberg who was in Copenhagen being sort of like psychologically tortured by Niels Bohr, his, his professor, uh, who is like, keeps, who he lives in the
1518.58 1518.70 SPEAKER_01  attic of.
1518.70 1523.24 SPEAKER_00  Yeah, he lives in his attic and every so often Niels Bohr just goes up and he goes, how's the quantum mechanics coming?
1523.46 1526.26 SPEAKER_00  By the way, I found a new thing that makes your idea stupid.
1526.88 1546.26 SPEAKER_00  Um, and he, he sort of has this, and this is, I think fictional and imagined, uh, he has this interaction in a bar with a sort of a frightening man, uh, who, who makes him drink and says, um, did you know that the first symptom of a psychological disturbance is the inability to contend with the future?
1546.26 1553.16 SPEAKER_00  Um, and, and sort of like accuses him of having destroyed the world, right?
1553.20 1557.26 SPEAKER_00  Of having, uh, he calls it a magnificent inferno that we have now ceased to understand.
1557.76 1565.86 SPEAKER_00  Um, and, um, the, what was beyond our grasp, he says, was neither the future nor the past, but the present itself.
1565.86 1570.30 SPEAKER_00  Not even the state of one miserable particle could be perfectly apprehended.
1570.72 1581.86 SPEAKER_00  However much we scrutinize the fundamentals, there would always be something vague, undetermined, uncertain, as if reality allowed us to perceive the world with crystalline clarity with one eye at a time, but never both.
1581.98 1585.38 SPEAKER_00  And that thing about, uh, like being monocular is a recurring thing.
1585.80 1599.64 SPEAKER_00  Um, Schwarzschild had like lost the sight in one eye, um, you know, as, as, as an astronomer looking at an eclipse, and he used to joke that he had, like Odin, he had sacrificed the sight in one eye to see further with the other.
1600.02 1602.12 SPEAKER_00  Uh, and this is a sort of recurring metaphor.
1602.96 1616.20 SPEAKER_01  Yeah, it's, um, I, I had, uh, we have some, some more passages from the, uh, from the, because this is sometimes, again, I, I'm always sort of happy to admit when I sort of read a passage of the book and I'm like, ah, well written, but what was it?
1616.40 1616.84 SPEAKER_01  Yeah.
1616.92 1626.56 SPEAKER_01  Um, was this, uh, the man in the bar seems to not just be making him drink alcohol, but there seems to be heavily implied that he's being given some kind of a hallucinogen?
1626.76 1626.94 SPEAKER_01  Yes.
1627.18 1627.82 SPEAKER_01  Yeah, absolutely.
1628.08 1635.16 SPEAKER_00  Which, I mean, plenty of mathematicians, plenty of physicists have used to, to, to better understand, uh, these things.
1635.80 1649.62 SPEAKER_00  Um, but he, he has this kind of, he has this trip where he goes out in the park afterwards, sort of reeling, uh, and he, he sort of, he sees particles and waves, uh, and sort of, he sees the transit of electrons.
1650.18 1656.38 SPEAKER_00  Um, and he has this kind of vision, although it's not actually like explicitly so of the atomic bomb, right?
1656.40 1661.74 SPEAKER_00  Of, of, uh, figures trying to like warn him and just being vaporized by light.
1662.32 1667.90 SPEAKER_01  Um, but also he has a vision of the, um, the forest sort of pulsing and growing.
1668.00 1668.26 SPEAKER_01  Yes.
1668.56 1669.24 SPEAKER_00  Verger again.
1669.70 1670.70 SPEAKER_01  Yeah, exactly.
1670.70 1672.08 SPEAKER_01  The terrible Verger is back.
1672.08 1675.18 SPEAKER_01  Um, me when I'm a Church of England vicar.
1675.84 1691.28 SPEAKER_00  Um, but yeah, so, so, I mean, this is, he, he's imagining subconsciously or he's, he's sort of hallucinating, uh, nuclear annihilation, right?
1691.36 1695.84 SPEAKER_00  And, uh, sort of humanity being exterminated or exterminated itself that way.
