0.00 17.22 SPEAKER_05  we're now we're now recording look at that well fantastic after having that whole discussion of
322.62 328.76 SPEAKER_01  the m1 yeah that's always like an m1 comic where i tonight route one oh my god i did sort of think
328.76 334.54 SPEAKER_04  that's what you meant for a second like that there is like a way to drive to be fair my friend
334.54 356.72 SPEAKER_01  so jamie allerton uh he shouts out a shout out to jamie allerton himself exactly also comedian a man who sleeps on your dog as i recall he sleeps on my dog yes um a few days a few days a month that sounds like a sex thing jack whitehall's always complaining about it he calls route one uh he's he says he's very a to b which actually sounds like it could be your
356.72 363.80 SPEAKER_03  theory as well and that sounds like an auto trader list yeah i think the 2004 voxel astra it'll get
363.80 374.88 SPEAKER_04  you from a to b i quite like a to b is one of the comedy clubs on route one you know yes i like that it's like i have a child my life is worse now thank you yeah it's one of those things where you can guess
374.88 385.92 SPEAKER_01  the punchline or the direction they're going in would you say that yeah sort of it yeah there's a lot of that or somebody that even now in the year of our lord 2024 is doing a bit about how
385.92 428.26 SPEAKER_03  there's different milks and you're like oh yeah different there are quite a few my wife's had a kid the size of her now yeah she's like clifford turned her into the sofa i've been sitting on her these these new age pregnancy manuals yeah what are they like it's one option i like the idea of doing a really high budget clifford the big red dog movie but where clifford is like a pantomime horse like it's just two guys everything else about the movie is like very like a24 it's like you know wait it's a24 so it's slightly terrifying uh-huh so everyone's terrified of the pantomime horse dog very cool what's it what's clifford a metaphor for like capitalism yeah that's right
428.26 458.42 SPEAKER_04  that's right yeah disputes with your landlord yeah yeah he's a he's a metaphor for landlordism and he's the big red dog that has to live in your house and like takes up a huge amount of space um but you kind of have to like making this work acknowledge and and and like him and no this is but this is too high concept for a24 because a24 usually it's like um because what i'm describing is a kind of a wacky film essentially ah that was quite wacky i was just thinking about clifford the big red dog
458.42 463.36 SPEAKER_01  and he got a bit scared ah it's too big i feel like you guys know quite a lot about clifford the
463.36 475.86 SPEAKER_04  big red dog sorry did you not get the google dog sorry i didn't get the show notes um okay i guess i'll just have to do some research on the fly as to what clifford the big red dog is doing now
475.86 482.12 SPEAKER_01  how old is it's a very old name for a young dog isn't it clifford yeah i think that the myth
482.12 486.70 SPEAKER_03  of clifford the big red dog has been around for a while sort of an oral tradition you know since
486.70 498.16 SPEAKER_04  the days of homeric greece people have talked about the big red dog with the um with the the troy cycle we only have two of the poems it's actually one of the lost i see yeah sing muses
498.16 503.92 SPEAKER_01  of the smell of the big red dog so the black black dog is depression uh-huh yeah red dog is
503.92 514.28 SPEAKER_03  landlordism yeah sorry yeah landlordism well then you'd get you'd get sued by alexandra burke because she invented the phrase the big red dog in the room oh my god that was incredible
514.28 530.62 SPEAKER_01  i knew that riley would be puzzled by that okay riley this was one of the biggest sort of niche moments of recent pop culture history would you say yeah it's one of the biggest niche moments of all of the small moments because i feel like if you know you love it this this falls into the
530.62 542.56 SPEAKER_03  category of things that people on gay twitter are obsessed with yeah i would say um alexandra burke is someone who won the x factor in like the late 2000s yeah maybe like 2010 what a classic
542.56 549.46 SPEAKER_04  type of person though is like on reality tv in 2009 yeah great probably has made her life's earnings
549.46 555.50 SPEAKER_03  yeah like what if there was another leona lewis like she's the answer exactly yeah yeah yeah precisely
555.50 566.38 SPEAKER_01  and she did she did a duet with beyonce in the final um and she had a pretty good voice out of alexandra burke and then when beyonce started singing it was like oh oh yeah that's why you're
566.38 573.20 SPEAKER_04  in you got here through a show rather than sort of yeah yeah uh-huh but alexandra burke fairly
573.20 582.76 SPEAKER_01  recently last few years yeah yeah was on a was on like a morning show like this morning or something like that with the lorraine or something like that and um she was i think she was talking about
582.76 591.30 SPEAKER_03  something completely arbitrary she's got hasn't she got a song called elephant in the room oh has she i think that might be it yeah and she was explaining why she called the song that yeah and
591.30 601.78 SPEAKER_01  she essentially um she said oh it's called elephant in the room because it's this phrase they have over in the states i actually learned it there no no no she claimed to have invented it that was the claim
601.78 608.82 SPEAKER_03  she was like it's a phrase that i came up with no i mean i imagine i imagine that there would have
608.82 612.94 SPEAKER_04  been a quite unspoken implication when she said that that no one really wanted to acknowledge
612.94 625.60 SPEAKER_01  the presenters were very awkward nicer the presenters were very awkward weren't they because they obviously knew that alexandra burke had not in fact yeah invented the phrase elephant in the room
625.60 630.72 SPEAKER_03  so well because imagine if there was an elephant in the room you know you'd want to talk about it
630.72 634.24 SPEAKER_01  yeah and then she proceeded to like sort of quite literally talk about the phrase and the presenters
634.24 651.70 SPEAKER_04  were like um it's also not one of those phrases that just sort of originated from nowhere like it has a point of origin does it yeah i just assumed it was something it's from a russian fable really yeah it's from a russian fable when you have elephant in room you feed it dried squid and give it beer
651.70 658.66 SPEAKER_03  until it eventually leaves you film it on camera phone you say choy bled хорош if it's there
658.66 667.10 SPEAKER_01  you marry elephant elephant is wife slimmer than my wife actually i use her as sofa
667.10 675.88 SPEAKER_04  elephant easier to clean than dog dog yes more cozy elephant wipe clean i perform at comedy club
675.88 693.12 SPEAKER_03  chasse 1 make many jokes about size of life children ruining life so on so forth mother-in-law different milks so many milks now cow yak not elephant
693.12 697.56 SPEAKER_04  is political correctness gone mad
697.56 707.52 SPEAKER_03  fuck have we told you the political correctness gone mad story i don't care if we've told this on the show before we're doing it again no so you may or may not know this but i invented the phrase
707.52 712.36 SPEAKER_01  the political correctness gone mad and you've done a song about it yeah that's right yeah basically
712.36 718.98 SPEAKER_03  years ago at the edinburgh fringe i think 2018 um i was doing a mixed bill i have never laughed harder
718.98 725.56 SPEAKER_04  at live comedy than what we are about to hear this is the hardest i have ever laughed is this when you
725.56 731.04 SPEAKER_01  had a weird russian guy in the audience uh not in the audience he was on stage that's where you want
731.04 796.50 SPEAKER_03  a weird russian guy please tell the story again it's insane so yeah so when i was doing the mixed bill with the with the two russian guys yeah they had without my say so booked this other russian dude who happened to be in town because they were like oh he wants he wants to have a go this guy i knew him because he was a promoter from this shit town in russia called vologda and i'm like and not only is he not funny in russian but also he cannot speak english and then they were like it'll be fine he said he's had his jokes translated i'm like he's had them translated and they were like and i was like dude we've got to cancel this like you can't they're like he's doing five it'll be fine and i'm like it won't be he's reading them off of a piece of paper yeah they've got an auto queue um and so then they're like okay well here's a compromise it would be so rude to cancel him because he's a promotion he does book us so what we'll do is you just sit down with him for like half an hour before the show and just like approve his jokes and just like tidy it up and i'm like okay whatever so he turns up sense check yeah he's got these like reams of paper and he's like learned the stuff like by rote basically because he'd got some guy in his town to translate them but who normally does like legal documents you are dancing
796.50 806.32 SPEAKER_04  queen young and lean only 17 perfect age for marriage um clifford big red dog in house couch
806.32 814.02 SPEAKER_03  whole thing in russia we would shoot this dog bad omen bach does not approve this dog dog is
814.02 828.08 SPEAKER_04  i think the dog is chechen in russian um clifford the big red dog wearing like the dagestani hat clifford the big red dog but he's really into mma yeah he's got a ginger beard
828.08 846.82 SPEAKER_03  he only eats raw steak yeah that's right exactly um so anyway clifford akmitovic slava clifford yeah so basically he um he presents with these like just a grim unsmiling clifford
846.82 859.78 SPEAKER_04  crossing his paws at a at a gigantic dagestani mma complex getting out of a modified g wagon that's also red wearing an obviously prada collar oh yeah sick loving this already carrying a big
859.78 889.30 SPEAKER_03  wallet in his hand not in his pocket yeah um great god now that's salesmanship on the pod right there you're getting value for money here hogs um so yeah basically he turns up with these like reams of paper from this translator and the translation of the jokes is mental like it's like it's switching between british and american english mid-sentence it's like using like completely out of register words like it will use like some five syllable technical word and then like poo poo in the same you know i mean it's like it's all over the place like it's like 15 different people wrote
889.30 894.68 SPEAKER_01  this one line at a time i would be so excited to see this and terrified at the same time yeah i was
894.68 937.54 SPEAKER_03  kind of like oh fuck so i'm going through it and the sort of the main routine of this five minute set was him talking about his seven-year-old daughter and he's talking about how his seven-year-old daughter has a boyfriend and he had this bit where it was like uh and i cannot kill him or even hurt him and then i was like okay at this point you should say it's political correctness gone mad and he was like what does mean i'm like doesn't matter what it means just say it yeah and then so the show happens he's on in the middle so it's like maybe it's been going for like half an hour the show is going well so the audience are kind of like they're trusting the show at this point yeah he goes on and for the first like two minutes he's like barely making sense like he's stumbling through his words so much but people are laughing because the show has been good enough that they think it's a bit
937.54 943.34 SPEAKER_01  yeah like that he's doing some kind of kaufman type and you're like soon the veil will fall exactly
943.34 970.28 SPEAKER_03  and then by about minute three people are starting to be like oh no this guy actually just can't speak english oh shit and then but then this one bit he manages to nail where he's like my daughter has boyfriend she's seven but it's not fair i cannot kill him or even hurt him and then there's like a pause and he goes it is political correctness gone mad i have never seen anything crushed so hard in my life like the sheer shock on the face to do it is riley was stood behind me and he's just like
970.28 976.12 SPEAKER_04  cannot breathe like bent double like falling around the place i will i will listen to this
976.12 1014.50 SPEAKER_03  every single day for the rest of my life just remember him yeah this was at um there used to be a pbh venue that was like at the end of prince's street like on the southern end like the cannon gate end of prince's street yeah yeah and with the parallel if that makes sense um yeah and then so yeah the audience like like just like lose it yeah and he's like visibly taken aback by this i was gonna say how did he react and then he just kind of like panics and then he's like thank you goodbye and then just runs off the stage oh my god scared of his own laugh amazing but also bolstered yeah yeah
1014.50 1023.04 SPEAKER_04  going back to russia maybe he came yeah he's like uh yeah he's i need to go change yeah i must go
1023.04 1047.36 SPEAKER_01  clean myself i need to i need to wipe myself down yeah oh my god so yeah that's the political correctness gone mad story i was talking about um how one of my ex-boyfriends who i'm still pals with so i won't name him but once he tried to uh that colors the story immediately wipe himself down with what he thought um was a face wipe you know a baby wipe your average yeah sure run of the mill
1047.36 1052.72 SPEAKER_03  don't flush those always getting cards in the door exactly i'm like it's not makeup it's not you
1052.72 1061.32 SPEAKER_04  because you don't wash i have never received a don't flush a baby wipe note through my door in my entire life what the fuck are you talking about it's not addressed to like you specifically
1061.32 1068.66 SPEAKER_03  they're obviously putting them in everyone's door i guess they don't do it in your area i don't know but they're like hey people keep putting baby wipes down the toilet don't do it it causes us
1068.66 1078.16 SPEAKER_04  tampons not supposed to do it we can trust the turks to not put baby wipes down the toilet i guess is what they're saying that's right they would never do that no yeah um don't flush gigantic
1078.16 1083.34 SPEAKER_03  turbans the size of a man down the suleiman the magnificent has caused so many problems
1083.34 1094.88 SPEAKER_01  sorry so yeah he thinks it's a baby wipe he thinks it's a baby wipe it was actually a dettol bleach floor wipe oh and he hadn't looked at the packet and i was like what are you doing
1094.88 1106.58 SPEAKER_03  ideal male living space i've got my baby wipes they're bleach i tell you what it really your face looks fresh after one of those down three layers of skin he was like god that's that's that
1106.58 1111.70 SPEAKER_01  was fresh and i was like have you used a dettol wipe and he was like oh jesus christ his face has
1111.70 1124.98 SPEAKER_04  never had fewer bacteria have a rinse uh that that happened to me that happened to me when i was um i'm a real skincare head basically i'm talking about by the way he used that on his dick oh
1124.98 1138.90 SPEAKER_01  yeah sorry i thought you meant on his no no he used that as like a yeah he was to towel he was cleaning you know yeah i think it was after i suppose yeah and but then it was i mean yeah also he's indian and i was like oh my god what if you've bleached your own
1138.90 1153.38 SPEAKER_03  what does it what does it say about this sex with alex haddo experience that people are reaching for the bleach wipes fucking pampers isn't gonna cut it i need to be 99.9 bacteria free
1153.38 1170.26 SPEAKER_04  oh that 0.01 though i really thought you were talking face no i was gonna talk about a stingy mud compress i once had a stingy mud comp that sounds like a sex thing as well now am i just in the sex
1170.26 1174.28 SPEAKER_02  zone hello we're stingy mud compress and this is phone box
1174.28 1209.92 SPEAKER_04  no um so i use a lot of facial treatment okay um and i sort of experiment with different masks sometimes you have as we all do am i right yes well in our day-to-day lives we all wear masks who's really the joker you know um me because i have a special skincare joker mask that's right okay that would be awesome we could get all how i got these glowing pores yeah um god he looks so dewy i i actually think that's a way you could sell skincare to the how do you get it like that
1209.92 1218.10 SPEAKER_03  tell me how do you have no visible blackheads that's a good batman thank you they were both
1218.10 1230.08 SPEAKER_04  very good very convincing voice thank you you spent a long time on this study yeah i'm just i'm not even an official understudy i was just there hanging outside the studio uh get any passers-by going
1230.08 1234.08 SPEAKER_01  where are they yeah waiting for your parents to get shot so you could sort of have your origin
1234.08 1275.26 SPEAKER_04  put me in i have skin as good as christian bale where do you get your retinol uh i don't use retinol anymore oh yeah oh you want to like that trend yeah yeah yeah you can only get it from like india on the black market it's mental that's how my skin looks so good i need to do this you know the gays are onto it black market skin care yeah that's one of the no i um i have so i have a few things um i like to do masks uh just like at the end of the week to try to take out some of like the the travel and the tension yeah um the travel and the tension of course the travel the tension you know um and i i tried a a a new mud one i don't usually use mud ones uh i tried one and it stung
1275.26 1280.58 SPEAKER_01  horribly like it's terrible like how can mud stink it surely it's a quite quite natural one
1280.58 1287.64 SPEAKER_04  yeah it's natural but mud is actually naturally slightly acidic which is one of the reasons that it's supposed to help i just think this wasn't good for me you've had a man
1287.64 1299.30 SPEAKER_02  heartbreak yeah what are you doing the travel and the tension i can yeah yeah yeah yeah i can tell you're doing
1299.30 1304.32 SPEAKER_04  an impression of something but i don't know what this is laser targeted it's so indie boy this is
1304.32 1316.04 SPEAKER_03  like impression of any british indie guitar band from the 2000s it was because when you said stingy the stingy mud mask like a band called stingy mud mask yeah if you ever if you ever look at um
1316.04 1335.42 SPEAKER_01  josh weller's sketches he's got a great one about uh you know fake indie band names but they're so accurate we're stingy mud mask and this is travel and tension we smoke fags we're from spain all those sort of names and then steve lemak even commented on his thing saying we would have definitely had we're from spain in the live lounge like they were all called like i remember i
1335.42 1349.02 SPEAKER_03  actually i used to follow on my space back in the day a band that were actually called we smoke thanks was a real was a real band and they were always getting shit from americans who were like this is disgusting homophobia and then they thought that band was like we kill gay people
1349.02 1362.24 SPEAKER_01  that's a much more of a norwegian vibe yeah and they and they they um apparently had to stop uh hang on this they got like a really redneck following in the states of people that thought
1362.24 1395.86 SPEAKER_04  it was but so they would go to the show having not heard the show and then they'd be like can't wait for some you know george bush era you know homophobia why would they call it george bush era it's now yeah can't wait for some homophobia the iraq war is cool yeah the iraq war will be over soon yeah it will be an unqualified success and we're gonna win a second indie band this is our this is our new song there will never be a territorially based islamic jihadist organization that emerged from the chaos created by the iraq war where we smoke fags and star new single
1395.86 1403.04 SPEAKER_02  anders brevik did nothing wrong two three four yeah yeah but again this is from before he would
1403.04 1408.14 SPEAKER_04  have done it so it's like we anders because they don't know this is a normal man and this is about
1408.14 1423.52 SPEAKER_02  a lovely man in norway called anders brevik it's 2008 so far he's done nothing wrong nothing matters yeah labor is still in gordon brown gordon brown yeah you always forget about him
1423.52 1427.46 SPEAKER_03  you do it's like the lady jane grey of prime ministers he's the lady jane grey he's the
1427.46 1430.74 SPEAKER_01  indy landfill of prime ministers isn't he yeah god imagine if they'd beheaded him
1430.74 1434.82 SPEAKER_03  that would have been a hell of a way out nick clegg having to do it cameron's like i'm not touching
1434.82 1446.00 SPEAKER_01  that your job nick that would have been a clean slice that would have been a meaty i was about to say meaty tug i could never want to see that after one of those you need a dental wife i'll tell
1446.00 1486.50 SPEAKER_04  you that or at least a mud mask yes exactly mud mask on the dick again no you would just hurt yourself yeah it's not good so the other but also i'm using um hang on i've actually i've got my prescription in front of me uh prescription this is riley's medical corner yeah um so it's uh riley's blood type tretinonin and then it is uh acid and then something else how do you how do you apply this stuff oh niacinamide like this okay let the record show riley is rubbing his cheeks like a delighted
1486.50 1491.16 SPEAKER_01  little boy i genuinely thought you said like an anti-semite there for a second
1491.16 1497.18 SPEAKER_03  in the way that an anti-semite would grumbling about the banks as you do it
1497.18 1523.26 SPEAKER_04  the actual motion is the same as a normal person and then of course obviously hyaluronic acid and then um a depending on if i've shaved i have different kinds of moisturizer that i use one of which is like soothing and repair oh the other of which is like for night and then i have sunscreen that i put on several times a day um and then in the morning it's actually different entirely where he was a different cleanser an oil-based cleanser um and then what is going on uh instead
1523.26 1525.14 SPEAKER_03  of actually shock you to know that ryan is autistic
1525.14 1533.48 SPEAKER_04  and then um this is this is the least the least medical uh thing that i use you're so autistic you've
1533.48 1548.80 SPEAKER_03  become gay you've you've derived being gay from first principles just from thinking about it so much like none of the whimsy none of the knowing about alexandra burke but all of the skincare
1548.80 1554.28 SPEAKER_01  products like a lot of skin no this is my favorite thing are you actually like 48 and you just look
1554.28 1592.10 SPEAKER_04  incredible i also have a bunch of hair stuff that i use as well riley was at the present at the birth of clifford the big red dog oh he's my character yeah yeah um i initially intended him as furniture um so my my favorite thing that i use the thing that really makes my entire routine i only use it in the mornings right um and it is a grape derived oil from cores oh yeah it's great really really awesome i love that you're managing to merge your interests now as well you're putting grapes on your face it's from santorini so it probably is actually made out of like a wine byproduct it's probably made out of acertico grapes that are then also going into wine going into that slightly
1592.10 1596.56 SPEAKER_01  salty wine that yeah milo what have you got a drop your skincare routine have you got one i put
1596.56 1601.12 SPEAKER_03  moisturizer on sometimes that's that's good um yeah i think that's pretty good yeah i'm pretty straight
1601.12 1610.80 SPEAKER_04  actually so um ladies fuck you love fennies yeah that's right i love i love minge and being wrinkled
1610.80 1617.88 SPEAKER_03  yeah i love a love a bit of minge and a dead old white classic combo they call that the bosnian breakfast
1617.88 1628.24 SPEAKER_04  it has reservatrol in it so that's good that's really a whole like tiktok some genres just people
1628.24 1634.56 SPEAKER_00  doing bosnian breakfast as if it de-ages you the actual bosnian breakfast is an espresso and a cigarette
1634.56 1640.60 SPEAKER_04  no and well pounding house music plays in the cafe that you're in yeah i want to go to bosnia so bad
1640.60 1650.24 SPEAKER_01  picture this and the man that i'm picturing is wearing a puffer jacket in summer yeah yeah in one of those cafes with the la vaza coffee you got it yeah
1650.24 1669.82 SPEAKER_03  you gotta go what i've discovered about the balkans is that you gotta go have you discovered what kosovo is that's right it's part of albania it will shock you that's right um white boy shocks kosovo restaurant yeah like uh slovenia nice but it's just like being in europe okay croatia and
1669.82 1676.08 SPEAKER_01  serbia suck um i've been to but i went to the nice touristy bit yeah in the south lovely oh northern
1676.08 1735.90 SPEAKER_03  croatia really sucks southern croatia is still like it's like what if italy had shit food yeah yeah that's exactly where i've been and you're paying italy prices yeah so on aggregate sucks yeah just go to it yeah no point but if you go to like the like the the the muslim like turkic bits like bosnian shit crazy great great food people are nice really because it like there's something about the like the uh the kind of like the middle easternness of the culture overrides the kind of like slavic agro right so you start getting the nice arabish kind of like please come in have a coffee would you like a cigarette rather than like what do you fucking want um do you do you bring your calibers uh no i've never actually been to bosnia but i've been to like bit i've been to like bosnian stuff in croatia and it's so much better than the croat stuff uh-huh um like better service better food uh-huh um so i'm pro bosnia this is gonna kick it all off again i know without serbian audience
1735.90 1756.76 SPEAKER_01  things were calming down i know i know it's all gonna kick off i've seen bosnia i've never been you've seen what you like i was in croatia in dubrovnik and they were like that peak of that mountain is the start of bosnia bosnia yeah so i have seen that country but i've never been and what opinions have you flown based on what you've seen based on what i've seen
1756.76 1768.74 SPEAKER_03  very mountainous because i saw one mountain because isn't it to to drive from dubrovnik to split you actually have to go through bosnia there's like yeah it's a weird croatia is like a crescent yeah yeah
1768.74 1774.44 SPEAKER_01  you have to like go through like most stars yeah my most niche um country that i've ever been to is
1774.44 1779.80 SPEAKER_03  el salvador oh twice that's a dangerous country very dangerous because you had the boyfriend in
1779.80 1785.58 SPEAKER_01  el salvador right yeah yeah so i've been there twice and it was a real eye-opener yeah that was
1785.58 1803.04 SPEAKER_03  like a tiny it's like i'm sorry alex here we only have the dental due to the american blockade you see don't eat anything that hasn't been wiped down
1803.04 1821.04 SPEAKER_01  i did actually learn that i shouldn't have eaten some of the things they hadn't been wiped down um no i went there there was a that's a different story there was a like little kiosk of uh bread rolls with a man with an ak-47 guarding them and i was like we're in a
1821.04 1826.32 SPEAKER_03  different zone now yeah no one's this fucking bakery has been burned before it was just like
1826.32 1831.66 SPEAKER_04  if jean beljean comes here i'm fucking killing him yeah it was it was it's like going to a greg's in
1831.66 1837.18 SPEAKER_01  wigan yeah yeah some gregs do have bouncers now the late night ones well i always remember
1837.18 1864.60 SPEAKER_04  that's a terrifying genre of bouncers well we talked last time you were on we talked about the turkish restaurant with the bouncers yes i still haven't been um but my girlfriend and i walked they were like not in those shoes sunshine you know can't get in i'm trying to like right it like find someone cool who regularly goes to the turkish restaurant and try and say i'm with him no you have to look really gay yeah what what donor options are there tonight show him your lack of
1864.60 1871.78 SPEAKER_03  paws well you're in no so you gotta name all of the salad bits otherwise they won't let you in
1871.78 1877.88 SPEAKER_04  adana kebab but there are mcdonald's is with bouncers as well quite a few of them and they're
1877.88 1907.18 SPEAKER_03  the most terrifying the one in cambridge has bouncers cambridge well no you know what's weird about cambridge though is that not due to any of the people that live there right but on a friday and saturday night it's rough because everyone from shit towns in the midlands goes to cambridge for a night out because it's less grim yeah so it's like it's people from corby it's people from kettering we're ruining it it's it's bricklayers who will knock you out um and as a result the saturday night mcdonald's bouncer he was he looked like a viking he was the biggest man i've ever seen
1907.18 1915.28 SPEAKER_01  he had a mohawk um i think you need that mcdonald's can be a very feral place post 1am i think yeah it's
1915.28 1924.56 SPEAKER_04  actually worse than the club i think yeah oh 100 well the club people are on good behavior but mcdonald's it's like all of the all of the beefs that we've been building up overnight there's a lot of beef
1924.56 1957.34 SPEAKER_01  than mcdonald's yeah well not always my after my mates hendu this year me and my pal went to mcdonald's like in central about 3am and this guy tried to chat us up through the glass like we were eating our burger pissed as fuck like sat in the window and this guy just came up to the window and was like pointed at both of us and was like come home with us like he's on a prison phone genuinely like that we were like he put his hand up against the glass like this he would put his face up against the glass that's the come on love yeah go on you slake what a great what a great thing to
1957.34 1967.36 SPEAKER_04  do just to be like all right here's how i'm gonna get these these ladies to abandon their drunk food and come home with me yeah is by like blowing my cheeks out against the glass literally that
1967.36 1970.18 SPEAKER_02  we're mcdonald's window and this is late night chirps in
1970.18 1973.40 SPEAKER_01  god i should call him
1973.40 1980.34 SPEAKER_03  this is like a missed connection show like you just describe him yeah and then we presume he
1980.34 2029.36 SPEAKER_01  listens to balsas if you sing it they will come what was what was the hendu like the hendu was great and i'll tell you for why please i think it's the resurgence you went notably more northern on that like one sentence yeah and i'll tell you what i'd say i'll tell you why and i'll tell you for i'll tell you fucking why right because um it was a one night london piss up ah the good old days minimal admin everybody like just having a great time nobody's worried about spending 800 pounds yeah just you're just doing it yeah and a great reminder of why nobody goes out in central london after the pub stage of the night because we went to this club and it was in a fun way that it was i mean it may as well have been a tiger tiger it was a completely different window into like you're out
2029.36 2034.60 SPEAKER_03  with the people from kent now yeah yeah was it zebrano it was it was very similar you know there's
2034.60 2077.66 SPEAKER_01  a gig that runs very similar to zebrano i'm actually barred from zebrano um because i used to work above it years ago and so there was a door from our office into the back of zebranos so you could get in without going out the building and back into the on the you had private zebrano private zebrano access usually reserved for only men paying for women i imagine does david lewis still run that gig there he does yeah yeah i've done that as well but years ago i it's the same owner i think as well and i was like i hope he doesn't remind me i remember me because i snuck in and went behind the bar at the top that wasn't being in use and uh nicked a bottle of amaretto and then he saw me doing it on the cameras and came up and said don't bother coming back down you're banned from
2077.66 2083.48 SPEAKER_04  you're banned from conveniently entering your office yeah essentially that's what happened yeah so that's
2083.48 2099.70 SPEAKER_03  it that was a low moment well the trick with the office is go in at 8 30 a.m get a stamp then go home have a bit more of a sleep come back at 11 a.m you don't have to queue yeah in a different top yeah yeah and they think you've been in since 8 30 clever yeah it's perfect stuff it works very well yeah
