0.00 20.00 None  B8-2-res No, B8-2-res.
162.00 163.00 SPEAKER_09  Yeah.
163.00 164.00 SPEAKER_09  Yeah.
164.00 165.00 SPEAKER_09  It's great.
165.00 169.00 SPEAKER_09  I can just imagine how confusing that would be to an American teenager.
169.00 182.00 SPEAKER_06  It's just a short burst of Ali G and just no context because remember at the time Madonna was married to Guy Ritchie and was living in the UK and was in like full cool Britannia tiaboo mode.
182.00 186.00 SPEAKER_06  And so she, she, she spoke with a bit of an affected English accent at the time.
186.00 187.00 SPEAKER_06  Yeah.
187.00 192.00 SPEAKER_09  This was, this was the era when, you know, they were seen leaving a hotel with a, with a strap on in a clear plastic bag.
192.00 193.00 SPEAKER_06  Yes.
193.00 204.00 SPEAKER_06  And, and, and so, yeah, that, that immediate exposure, it was just sort of like, is this guy part of the, the story of this music video for some reason?
204.00 206.00 SPEAKER_06  Is he supposed to be Middle Eastern?
206.00 208.00 SPEAKER_06  Who is this guy?
208.00 210.00 SPEAKER_06  Why does he talk like that?
210.00 211.00 SPEAKER_06  And it wasn't really explained.
211.00 221.00 SPEAKER_06  I mean, it wasn't, it was, wasn't necessarily meant to be explained, but I feel as though taken out of the context of Sacha Baron Cohen's subsequent fame.
221.00 222.00 SPEAKER_06  Yeah.
222.00 231.00 SPEAKER_06  If you show what the clips you've shown me to an American who wasn't necessarily like exposed to it before, they would probably say, why does he talk like that?
231.00 233.00 SPEAKER_06  What the fuck is going on?
233.00 234.00 SPEAKER_09  What the fuck is going on?
234.00 235.00 SPEAKER_09  Yeah.
235.00 241.00 SPEAKER_09  I mean, also, I think we'll get into this, but like some of the clips we watched, you're like, you're like, Oh, this is of its time.
241.00 242.00 SPEAKER_09  Yes, it is.
242.00 243.00 SPEAKER_08  Woo.
243.00 244.00 SPEAKER_09  But it's sort of, I don't know.
244.00 251.00 SPEAKER_09  I always have such in, in the, in the, in the broader, in the broader sense, always have like such kind of like mixed feelings about Sacha Baron Cohen.
251.00 260.00 SPEAKER_09  Um, you know, uh, uh, another, another one of Cambridge's proud sons, but, um, he's like, he's done so much stuff.
260.00 272.00 SPEAKER_09  That's like, so like great, like bordering on genius, but then also Bruno, like, you know, where you're just like watching, you know, like the first Borat movie.
272.00 277.00 SPEAKER_09  There's so many moments in it that are like, like him talking to like us senators and stuff.
277.00 278.00 SPEAKER_09  And it's like, this is amazing.
278.00 279.00 SPEAKER_09  This is like groundbreaking.
279.00 284.00 SPEAKER_09  But then like, yeah, then it's like, Bruno, what if a man was gay and also Austrian?
284.00 285.00 SPEAKER_06  Yeah.
285.00 287.00 SPEAKER_06  What if a gay guy was, was hugely flaming?
287.00 288.00 SPEAKER_06  Yeah.
288.00 290.00 SPEAKER_06  We've never had that as a comedy trope in America ever.
290.00 291.00 SPEAKER_06  Yeah.
291.00 294.00 SPEAKER_06  Well, the entire joke is he's gay.
294.00 296.00 SPEAKER_09  Imagine, imagine that.
296.00 301.00 SPEAKER_09  And I remember even when I watched Bruno, which was probably like around the time when it came out, you know, I'm like 16, 17.
301.00 302.00 SPEAKER_09  I don't know what I mean.
302.00 304.00 SPEAKER_09  And even at the time I was like, oh man, this sucks.
304.00 305.00 SPEAKER_09  Yeah.
305.00 306.00 SPEAKER_06  It sucks really bad.
306.00 329.00 SPEAKER_06  I mean, I would say for me of all the clips that we watched, the one that I think really nailed it down for me that he's very, very sharp and talented as, as both a comedian and kind of like not improv explicitly, but in the, the, the sense of being able to like follow the contours of a thing to find a joke was the interview he did with the Beckhams.
329.00 330.00 SPEAKER_06  Yeah.
330.00 336.00 SPEAKER_06  That was like, specifically the riff about if the fittest, the best footballer gets the fittest girl.
336.00 340.00 SPEAKER_09  Does that mean that, uh, baby spices going out with someone from Scunthorpe United?
340.00 346.00 SPEAKER_06  Baby spices going out with someone from Scunthorpe and, and, uh, Victoria Beckham is like that.
346.00 349.00 SPEAKER_06  Like that, like, like basically like that's, that's my friend and that's rude.
349.00 350.00 SPEAKER_06  Like that's offensive.
350.00 351.00 SPEAKER_06  And he's like, yeah, I know.
351.00 353.00 SPEAKER_06  So you're saying like, she's cause baby spices fit.
353.00 355.00 SPEAKER_06  So what you're saying is this, you're saying Scunthorpe's a bad team.
355.00 356.00 SPEAKER_06  That's fucked up.
356.00 359.00 SPEAKER_06  And like, that's, it was such a good turnaround moment.
359.00 362.00 SPEAKER_06  I was just like, damn, this guy is actually really, really, really good.
362.00 363.00 SPEAKER_06  Hmm.
363.00 370.00 SPEAKER_06  Borat to me, I saw it in theaters and it was really funny at the time, but I also think like you said, it's very of its time.
370.00 371.00 SPEAKER_06  Yeah.
371.00 374.00 SPEAKER_06  And I don't know if I would find that as funny if I went back and watched it now.
374.00 375.00 SPEAKER_06  Yeah.
375.00 389.00 SPEAKER_09  There's definitely things where the, the, the most like insane, like, I think the stuff in it now that reads the craziest is like the really like anti-Semitic stuff in there, but like he is Jewish, so he can kind of, he can carry that.
389.00 401.00 SPEAKER_09  Um, but, uh, yeah, it's, it definitely like, yeah, I mean like stylistically it's very dated, but yeah, there's some moments just like the guy's face when he says my mom, my wife make this cheese with milk from her.
401.00 405.00 SPEAKER_09  I'm just like, yeah, there's a certain, you know, there's some jokes you'll grow out
405.00 420.00 SPEAKER_06  of. I think the, the, the naked wrestling scene where he's yelling at the guy in Hebrew and the guy's yelling back at him in Armenian and it's, they've just, they just added in subtitles, but it's, it's completely improv of them just speaking in mutually unintelligible languages.
420.00 421.00 SPEAKER_06  Yeah.
421.00 423.00 SPEAKER_06  I, I fucking wept the first time I watched that.
423.00 424.00 SPEAKER_06  Yeah.
424.00 426.00 SPEAKER_06  So, I mean, we're, we're, we're going to talk about Ali Jean.
426.00 429.00 SPEAKER_06  I think the thing that, okay, here's the thing that really too, as an American.
429.00 442.00 SPEAKER_06  And also when you think about the distance between when this was like being made versus now is that the idea of a white dude trying to sound like a British Jamaican guy.
442.00 443.00 SPEAKER_06  Yeah.
443.00 448.00 SPEAKER_06  Is so just not a thing that exists in the United States and not in the same way.
448.00 465.00 SPEAKER_06  Like if you want to envision a white guy who basically exists as a kind of like, I'm, I'm basing my identity around appropriating what I perceive to be like cool rap black culture.
465.00 466.00 SPEAKER_06  Yeah.
466.00 473.00 SPEAKER_06  Like all you had to do is go to an Eminem concert and you would see both Eminem perform doing that.
473.00 474.00 SPEAKER_06  Yeah.
474.00 476.00 SPEAKER_06  And also all of the guys who look like him in the audience also doing that.
476.00 477.00 SPEAKER_06  Yeah.
477.00 486.00 SPEAKER_06  Which is not to say that like, there aren't people who just are fans of, I mean like I, it's not by default that every white person who likes rap music is, is vanilla ice.
486.00 487.00 SPEAKER_06  You know what I mean?
487.00 505.00 SPEAKER_06  There's more that like, we have a kind of way that that's coded when you think about the sort of a, I don't know if you remember this cause you would have been probably in grade school and it's a long time ago, but the offspring song pretty fly for a white guy or whatever, that kind of con like that, that concept exists, but the way it manifests here is different.
505.00 507.00 SPEAKER_06  And the way that he's kind of created this character is different.
507.00 508.00 SPEAKER_06  Yeah.
508.00 511.00 SPEAKER_06  So to me, it just, I'm going to be honest with you.
511.00 512.00 SPEAKER_06  It's funny.
512.00 513.00 SPEAKER_06  The interviews are funny.
513.00 516.00 SPEAKER_06  The encounters with people who don't realize he's fake are funny.
516.00 519.00 SPEAKER_06  A lot of it kind of just seems like minstrelry.
519.00 520.00 SPEAKER_06  I'm being real with you.
520.00 523.00 SPEAKER_06  It just kind of seems like that to me now.
523.00 538.00 SPEAKER_06  And like, I'm more than happy for you to disagree with me, but some of the stuff where it's like the movie clips and some of the things from him, like sort of the asides of him, just like, you know, the way he, he, uh, he, he deals with his hangers on and whatnot with the stains gang or whatever.
538.00 542.00 SPEAKER_06  Like it's kind of, it's just, it doesn't because there's not that immediate identification.
542.00 547.00 SPEAKER_06  I've never met a white guy from like middle-class suburbs in Britain who talks like that.
547.00 548.00 SPEAKER_06  That's not a stereotype.
548.00 550.00 SPEAKER_06  That's not an archetype I've encountered.
550.00 558.00 SPEAKER_09  I think it's less common now because it would be considered like weird more like it would be, it would have a bit of a like, not sure if that's all right.
558.00 559.00 SPEAKER_09  Kind of.
559.00 566.00 SPEAKER_09  Um, but, uh, I think, I think there are a few and I'm not necessarily saying that it's not, I don't know.
566.00 577.00 SPEAKER_09  It's, it's of its time that we can certainly say, I think that if you look into the sort of, um, I guess like the stated markers of allergy, like what is allergy supposed to be?
577.00 581.00 SPEAKER_09  And I say this as kind of like, uh, I'm, I'm pretty neutral on allergy on the whole.
581.00 588.00 SPEAKER_09  It wasn't really saying that I was particularly into, I did see the allergy film when it came out, but I wasn't like a massive allergy head.
588.00 591.00 SPEAKER_09  Um, in a way where I thought Borat was much funnier.
591.00 598.00 SPEAKER_09  But, um, I think the fact that he, cause I think, hang on, I can tell you what allergy's actual name is.
598.00 600.00 SPEAKER_09  This was like Alistair Graham or something.
600.00 601.00 SPEAKER_09  Alistair Leslie Graham.
601.00 602.00 SPEAKER_09  Yeah.
602.00 605.00 SPEAKER_09  Um, and he's from stains, which is like, you know, it's like slown.
605.00 607.00 SPEAKER_09  It's, it's like a very, it's very funny.
607.00 621.00 SPEAKER_09  It's a very particular cause like, there's also by, by contrast, there's like a kind of like white guy who grew up in Peckham and all of his friends are black who talks like that, but in like a more authentic way because like he went to that, that school and like he kind of, he grew up with that vernacular.
621.00 635.00 SPEAKER_09  And so Ali G is kind of, it's supposed to be a parody of a kind of like suburban middle-class white guy who's like aping that kind of aesthetic, which I think was more of a thing in the two thousands in that like, I definitely knew.
635.00 636.00 SPEAKER_09  In the nineties for sure.
636.00 637.00 SPEAKER_09  Yeah.
637.00 644.00 SPEAKER_06  I mean, I can remember this stuff from growing up in a, basically a white flight suburb of Indianapolis where like kids whose parents bought them BMWs.
644.00 645.00 SPEAKER_06  Yeah.
645.00 646.00 SPEAKER_06  Yeah.
646.00 650.00 SPEAKER_06  Talked, acted like this, you know, formed gangs, things along those lines.
650.00 651.00 SPEAKER_06  Yeah.
651.00 652.00 SPEAKER_09  Yeah.
652.00 656.00 SPEAKER_09  And so it's definitely like, it is, um, it is sort of a aping that kind of thing.
656.00 669.00 SPEAKER_09  And I, there were definitely like people like that when I was at school, but I sort of feel as though also, you know, who, who am I to, to say whether it strays into the, whether it strays over the line of just kind of like mocking black culture.
669.00 670.00 SPEAKER_09  I don't know.
670.00 671.00 SPEAKER_09  Not really, not really for me to say.
671.00 681.00 SPEAKER_09  Um, but I think that if we, if we're taking it as like sort of stated, stated goals, it's mocking that type of guy, but whether or not it kind of does that appropriately, you can.
681.00 693.00 SPEAKER_06  And also I'm looking at it from the perspective of someone who's, I'm not familiar with that culture, at all in terms of the sort of Britain and suburban white suburban Britain versus like black Britain culture.
693.00 694.00 SPEAKER_06  Hmm.
694.00 695.00 SPEAKER_06  I live in Peckham.
695.00 710.00 SPEAKER_06  So I, I live in one of like demographically the blackest parts of the UK, but like this guy is, it's not about, it's, it's, it's about a, a, a, a goofy white guy kind of faking, pretending to be a, what you'd call like a road man.
710.00 713.00 SPEAKER_06  Like, like basically like a guy who's yeah.
713.00 720.00 SPEAKER_09  You know, cause yeah, I think, um, so God, just seen a picture, Ali G giving a commencement speech at Harvard in 2004.
720.00 724.00 SPEAKER_09  Not even Sacha Baron going for Ali G amazing.
724.00 730.00 SPEAKER_09  Um, so supposedly, at least according to the internet, uh, he's based on Tim Westwood.
730.00 742.00 SPEAKER_09  Um, fair enough late, late of this parish, a man we have discussed at length because, um, if you haven't heard the episodes where we've discussed Tim Westwood, um, how did Tim Westwood come up?
742.00 743.00 SPEAKER_09  We've talked about him on a number of UK.
743.00 744.00 SPEAKER_09  We've talked about my ride UK.
744.00 745.00 SPEAKER_09  Oh yeah.
745.00 746.00 SPEAKER_09  Yeah.
746.00 747.00 SPEAKER_09  Yeah.
747.00 748.00 SPEAKER_09  Yeah.
748.00 749.00 SPEAKER_09  Yeah.
749.00 750.00 SPEAKER_09  We did.
750.00 751.00 SPEAKER_09  And I think he's come up since then.
751.00 755.00 SPEAKER_00  Uh, Tim Westwood, bad guy, but, um, if you've never seen Tim Westwood, it's the big dog.
755.00 759.00 SPEAKER_00  Yo dog, your, your car is fucked up.
759.00 761.00 SPEAKER_00  We've got to change out your bitch.
761.00 762.00 SPEAKER_09  Yeah.
762.00 764.00 SPEAKER_09  It's sort of like that.
764.00 771.00 SPEAKER_09  And that kind of thing, like how like Ali G always calls women bitches, but regards it as like non derogatory is like, that's definitely, yeah.
771.00 774.00 SPEAKER_09  It's aimed, aimed squarely at Tim Westwood.
774.00 779.00 SPEAKER_06  I'm thinking about the, uh, the, have you ever seen the movie hustle and flow?
779.00 780.00 SPEAKER_09  I've seen.
780.00 781.00 SPEAKER_09  Yeah.
781.00 787.00 SPEAKER_09  Once like, but it was one of those ones, you know, when you're like, uh, 11 and it's on TV and you catch half of it late at night.
787.00 788.00 SPEAKER_09  It was one of those situations.
788.00 789.00 SPEAKER_06  Yeah.
789.00 794.00 SPEAKER_06  I, side note, my, uh, my wife said that when years ago she dated a Swiss German guy that they watched it together.
794.00 800.00 SPEAKER_06  And even with the English language subtitles on, like on an English language film, he just had no idea what the fuck they were saying.
800.00 801.00 SPEAKER_06  And he was a fluid English speaker.
801.00 808.00 SPEAKER_06  But like, if you're not used to someone doing Memphis vernacular, like you're just not going to get, you're not going to understand it.
808.00 809.00 SPEAKER_06  Yeah.
809.00 813.00 SPEAKER_06  Tim Westwood to me is interesting when you think about like Tim Westwood is just like, well, in America they had exhibit.
813.00 815.00 SPEAKER_06  So who are they going to use this guy?
815.00 821.00 SPEAKER_06  This guy who's already probably, probably about my age when the show started, you know, who's just like, yo dog.
821.00 822.00 SPEAKER_06  Yeah.
822.00 829.00 SPEAKER_09  I saw such an amazing post where it was like the, the list of all of the evidence in the Epstein case that had been released.
829.00 832.00 SPEAKER_09  And obviously it was like exhibit one, two, three, four, five, whatever.
832.00 836.00 SPEAKER_09  And then someone just posted it and went, no, not the Pimp My Ride guy.
836.00 837.00 SPEAKER_06  So, okay.
837.00 843.00 SPEAKER_06  So, Oli G is based on, is supposed to be making fun of Tim Westwood.
843.00 844.00 SPEAKER_06  Yeah.
844.00 846.00 SPEAKER_06  And if you want to feel old, I had to explain that to my girlfriend.
846.00 847.00 SPEAKER_06  Yeah.
847.00 851.00 SPEAKER_09  I mean, she's only, she's only a year and a half younger than me, but you know what?
851.00 852.00 SPEAKER_09  It makes a difference.
852.00 853.00 SPEAKER_06  Generational difference.
853.00 854.00 SPEAKER_06  You know what I mean?
854.00 855.00 SPEAKER_06  Yeah.
855.00 861.00 SPEAKER_06  I appreciate you clarifying that there's not a problematic age gap happening there, but apparently there's a problematic Tim Westwood exposure.
861.00 862.00 SPEAKER_04  Yeah.
862.00 863.00 SPEAKER_09  Yeah.
863.00 869.00 SPEAKER_09  There's a, there's a difference in Tim Westwood exposure, but crucially there is some problematic age gaps when it comes to Tim Westwood.
869.00 876.00 SPEAKER_06  I mean, Tim Westwood, like, I don't want to make a joke that trivializes the fucked up shit that he did, but like, it is interesting to me.
876.00 882.00 SPEAKER_09  Like, allegedly did, but there, there have been, there have been some pretty nasty allegations about Tim Westwood as regards sexual misconduct.
882.00 887.00 SPEAKER_06  And I'm not, I just, I'm not aware of a comparable phenomenon.
887.00 901.00 SPEAKER_06  Maybe it's just because it was never reported, but like the degree to which it feels like you're constantly hearing these sort of like posthumous sex abuse scandal revelations about radio DJs in this country.
901.00 902.00 SPEAKER_06  Like that is a thing.
902.00 913.00 SPEAKER_06  I mean, or, or, or, I mean, television personalities make sense, but like specifically, like, Tim Westwood, John Peel, you could kind of, I mean, like Savile's a bigger character than that, but like that.
913.00 914.00 SPEAKER_06  Yeah.
914.00 915.00 SPEAKER_06  Entertainers who are not like.
915.00 920.00 SPEAKER_09  Savile was the kind of guy who even other guys in the seventies were like, whoa, you're fucking a lot of kids, Jim.
920.00 921.00 SPEAKER_09  Yeah.
921.00 926.00 SPEAKER_06  I mean, I said before, I know I referenced it in a previous episode, but I'll say it again.
926.00 930.00 SPEAKER_06  The, the, the whole thing about like, you do anything to pretend you're young to keep your like youth rail card.
930.00 933.00 SPEAKER_06  And it's got Gary glitter in the ad from like the early eighties.
933.00 941.00 SPEAKER_04  And it's just like, I mean, it is, it is funny.
941.00 948.00 SPEAKER_09  The difference with someone like glitter is I don't think it was as much of a, like everyone in the business knew Gary glitter was up to that.
948.00 953.00 SPEAKER_09  I don't think that he, yeah, I don't think that it was, he wasn't up to it to the extent that someone like Savile was.
953.00 965.00 SPEAKER_06  And I think he did it later in life, much more to a greater degree later in life when it was far more criminalized and crucially apparently fucked around so much that he got imprisoned and then deported from Vietnam for doing it.
965.00 971.00 SPEAKER_06  And at that point it's like, okay, there's no denying this guy is a, he's, he's a child abuser.
971.00 982.00 SPEAKER_06  But as far as I'm aware, like the Tim Westwood connection, I don't know if I ever really clocked that.
982.00 984.00 SPEAKER_06  Like it was never really made that clear.
984.00 990.00 SPEAKER_06  I guess looking at Ali G as a foreigner, I just assumed that this was a type of guy that people could identify.
990.00 993.00 SPEAKER_06  He's a send up of a type of guy that people had encountered.
993.00 1026.00 SPEAKER_06  And that as such, there were like white dudes in Britain who, who, uh, between sunglasses and, and hat and, you know, facial hair came across as like, well, maybe halfway middle Eastern dressing in like, I guess like echo and stuff like that, you know, like Mark echo and fucking, um, like Tommy Hilfiger and a lot of the like American, uh, like FUBU, the kind of like American, like, like brands that were identified as like clothing that rappers were endorsed and stuff like that.
1026.00 1034.00 SPEAKER_06  And then just apparently talked in a, but you have to understand to the uninitiated person, what he says, the way he talks is almost unintelligible.
1034.00 1035.00 SPEAKER_06  Yeah.
1035.00 1040.00 SPEAKER_09  It's challenging because he's using like loads of like specifically Jamaican slang as well.
1040.00 1051.00 SPEAKER_09  Um, like airing on the, it's like, it's so, it's so Jamaican to the point of like, it kind of diverging from a, like what, what you would call like multicultural London English or whatever.
1051.00 1052.00 SPEAKER_06  Yeah.
1052.00 1056.00 SPEAKER_06  My wife's best friend is like Jamaican born and raised in Jamaica, lives in Jamaica now.
1056.00 1065.00 SPEAKER_06  And like, this sounds more like if you put her in a room with another Jamaican person, that it sounds like anything I hear on the street where I live.
1065.00 1066.00 SPEAKER_09  Yeah.
1066.00 1067.00 SPEAKER_09  Yeah.
1067.00 1068.00 SPEAKER_09  Yeah.
1068.00 1069.00 SPEAKER_09  Yeah.
1069.00 1080.00 SPEAKER_09  It's like, like, I think certain, like there's like an extent to which, because there are, uh, so many Jamaicans who've been like quite prominent in black culture in the UK that, that like certain amounts of Jamaican slang have like permeated that kind of like multicultural English, if you want to call it that.
1080.00 1086.00 SPEAKER_09  Um, but then there's also, there's like Jamaican stuff that like only really Jamaicans say that yeah.
1086.00 1087.00 SPEAKER_09  Yeah.
1087.00 1088.00 SPEAKER_09  Yeah.
1088.00 1103.00 SPEAKER_09  But I think again, casting my mind back into the annals of, uh, you know, Britain in the, in the early two thousands or late nineties, there was, I think there was like more of a, like, sort of like Jamaican, Jamaica filia.
1103.00 1104.00 SPEAKER_09  I don't know.
1104.00 1115.00 SPEAKER_09  In terms of like, you had people like, uh, like, you know, uh, I don't know, like, like Sean Paul and Shaggy and stuff who are very popular and like that kind of, whereas now that's kind of faded quite a lot.
1115.00 1116.00 SPEAKER_09  Yeah.
1116.00 1120.00 SPEAKER_09  At the time that was like a more prominent thing that people associated with sort of black culture and music, I guess.
1120.00 1122.00 SPEAKER_06  I'm trying to think in the United States.
1122.00 1131.00 SPEAKER_06  I mean, obviously you have Jamaican artists, uh, the most famous Jamaican artists in America, you know, in the old days would have been people like Bob Marley.
1131.00 1136.00 SPEAKER_06  Um, but then later on, like, um, I mean, Shaggy is Jamaican American.
1136.00 1138.00 SPEAKER_06  Sean Paul is Jamaican.
1138.00 1148.00 SPEAKER_06  Uh, Shaggy actually like weird trivia that some people, people who remember his sort of like because he had a pretty big hit in the nineties, but then he had an obviously with a, it wasn't me.
1148.00 1151.00 SPEAKER_06  He had even bigger hit in the early two thousands, but Shaggy, Shaggy.
1151.00 1154.00 SPEAKER_09  I'm constantly having to explain to people online that Shaggy didn't do anything.
1154.00 1155.00 SPEAKER_09  It was all Ricardo.
1155.00 1156.00 SPEAKER_06  Do you listen to the song?
1156.00 1158.00 SPEAKER_06  Yeah, yeah, yeah, yeah, exactly.
1158.00 1164.00 SPEAKER_06  Rick Rock was the guy who was telling him the story of Shaggy was just saying, telling like, just pretend it was a different person.
1164.00 1165.00 SPEAKER_06  Yeah.
1165.00 1166.00 SPEAKER_06  Shaggy was his lawyer.
1166.00 1167.00 SPEAKER_09  Yeah.
1167.00 1168.00 SPEAKER_06  He was like, you don't say shit to the cops.
1168.00 1169.00 SPEAKER_06  Yeah.
1169.00 1174.00 SPEAKER_06  The hidden verse from, from that song is, is Rick Rock just being like, this is my lawyer dog.
1174.00 1175.00 SPEAKER_06  You know, I'm going to jail.
1175.00 1176.00 SPEAKER_06  Yeah.
1176.00 1177.00 SPEAKER_06  Yeah.
1177.00 1185.00 SPEAKER_06  Uh, Shaggy had a hit with, was it, uh, boom Bastic in the early nineties, but then obviously he had the, the, the, a bigger hit later down the road, but he, um, he was, he was in the Marine Corps.
1185.00 1189.00 SPEAKER_06  A lot of people, I don't realize it, but Shaggy, like famously, like recruiters try to be like, Oh, well Shaggy was a Marine.
1189.00 1192.00 SPEAKER_06  Like you can be a success in music if you join the Marine.
1192.00 1195.00 SPEAKER_06  But Shaggy, Shaggy's like, if you ask him about it, he's like, man, I fucking hated that shit.
1195.00 1196.00 SPEAKER_06  It sucks so bad.
1196.00 1197.00 SPEAKER_06  Yeah.
1197.00 1199.00 SPEAKER_06  He's a, he's a golf war veteran.
1199.00 1200.00 SPEAKER_06  Wow.
1200.00 1212.00 SPEAKER_06  He, yeah, he, um, they did a, a MTV cribs with Shaggy and he actually had his like shitty old fucked up, like, you know, cathode ray tube TV that he kept because he's like, this was new, the TV from like right after I got the Marine Corps.
1212.00 1218.00 SPEAKER_06  I got my first apartment when I first, and he's like, I just want to keep it as like kind of a reminder of like, you know, where I got, where I came from in a way.
1218.00 1222.00 SPEAKER_06  Imagine you're like the Iraqi soldier who got slotted by fucking Shaggy.
1222.00 1223.00 SPEAKER_09  That's incredible.
1223.00 1230.00 SPEAKER_06  Hilariously Shaggy was like, yeah, but it, I don't think he was a, he was a, like in a combat job and he was just like, it was literally over in three days.
1230.00 1232.00 SPEAKER_06  We just spent like months doing nothing in Saudi Arabia.
1232.00 1233.00 SPEAKER_06  Then all of a sudden we're like, oh, we're at war.
1233.00 1235.00 SPEAKER_06  And then it's like, all right, four days later it's over.
1235.00 1239.00 SPEAKER_06  Um, but yeah, like bringing it back, talking about Jamaican music in America.
1239.00 1255.00 SPEAKER_06  Um, there has been, but I think maybe not as much because there is, there's a significant amount of Jamaican like, uh, migration to the U S but it's just not as, as like kind of ubiquitous in, uh, America, like put it this way.
1255.00 1267.00 SPEAKER_06  There are places in America where there are a lot of people, either immigrants from Jamaica or people whose, you know, parents, grandparents immigrated from, from America or from Jamaica, but it's not as a, as a percentage.
1267.00 1270.00 SPEAKER_06  It's relatively small amongst black Americans.
1270.00 1271.00 SPEAKER_06  Yeah.
1271.00 1281.00 SPEAKER_09  Whereas huge numbers of Jamaicans and other West Indian people came over to the UK because you could, I mean, and, and we all know what happened later on as regards to the British government and it's very normal policies.
1281.00 1294.00 SPEAKER_06  As a quick explainer for Americans who may not know this story, Brits know this because it's been in the news, but basically, um, there was a time not that long ago where if you were up until like the mid seventies, you could travel on your parents passport.
1294.00 1308.00 SPEAKER_06  If you're, um, specifically British, British, uh, Commonwealth citizens of countries that were sort of in this grouping, uh, had British subject or British citizen passports and your children could travel, your minor children could travel on your passport.
1308.00 1310.00 SPEAKER_06  They would just be like a stapled in addendum.
1310.00 1314.00 SPEAKER_06  I've seen my, my grandmother's old British passport when she and my mom immigrated to America.
1314.00 1316.00 SPEAKER_06  I used to travel on my mom's passport when I was a kid.
1316.00 1317.00 SPEAKER_06  Yeah.
1317.00 1322.00 SPEAKER_06  I don't know how, how recently they got, cause when I was a little kid, uh, I had to get my first passport to move over to Germany when I was five.
1322.00 1325.00 SPEAKER_09  But yeah, I think, um, America's not allowed.
1325.00 1330.00 SPEAKER_09  Probably on a British passport, you could travel on your parents passport, like into the 2000s.
1330.00 1332.00 SPEAKER_09  I got my first passport when I was about 11.
1332.00 1333.00 SPEAKER_09  Wow.
1333.00 1334.00 SPEAKER_06  Yeah.
1334.00 1338.00 SPEAKER_06  And so the, the situation was a lot of people came over, their parents had documents.
1338.00 1342.00 SPEAKER_06  They, they emigrated with, with their small children to the UK.
1342.00 1345.00 SPEAKER_06  These people grew up or spent their entire lives in the UK.
1345.00 1348.00 SPEAKER_06  They had never gotten, uh, British passports.
1348.00 1351.00 SPEAKER_06  They, or they'd never gotten, cause they'd never left the UK.
1351.00 1355.00 SPEAKER_06  They'd lived their entire lives here, uh, basically since they were small children.
1355.00 1370.00 SPEAKER_06  And the British government coincidentally destroyed an archive of historical landing cards from all the ships that had ferried people over when they were recruiting throughout the present or former colonies to bring people to, to, to work in jobs, repairing Britain post war.
1370.00 1375.00 SPEAKER_06  And after that landing card archive was destroyed, destroyed, then they were like, hmm, all these people are in this country.
1375.00 1376.00 SPEAKER_06  They don't have documentation.
1376.00 1380.00 SPEAKER_06  We should start deporting them or denying them healthcare because they're, we, they can't prove their citizenship.
