0.00 29.58 SPEAKER_05  Hello and welcome to Punta Vista
483.94 520.94 SPEAKER_02  Hey, this is something we do Uh Every year Where we check in I think we're the only Outlet in the world Yes That reports on this Except for The primary sources From which we Gather our material Uh Dutch New Year's If you've been listening to this podcast For a while You're familiar with what it is We've covered this previously On the episodes Uh 180 Battlefield Urk 231 Dutch Watch Inferno 279 Show me a printout of Dutch Koshi And 328 The Harlem Globetrotters Uh They blow themselves up Yeah For New Year's Eve Like for fun though This is the fifth time Like deliberately This is the fifth time we're covering it
520.94 522.34 SPEAKER_09  So you can count that on one hand
522.34 525.56 SPEAKER_03  Unless you're Dutch Yeah Hey, do you like this?
525.92 530.54 SPEAKER_03  We're A half decade of covering Dutch New Year's I don't like that
530.54 533.82 SPEAKER_06  And it's not getting any better No No, it's not Lucy
533.82 534.66 SPEAKER_03  That's very true
534.66 574.88 SPEAKER_02  They refuse to learn from us Uh Now because we have covered this before I'm going to kind of do this as more of a A highlight reel Um Of just some of the The key Yeah The funniest of the funny That's right Yeah So first up Just a little bit of a preamble Um Just to sort of set the tone So this is some reports from just before New Year's First one here from Dutchnews.nl Firework sales start ahead of Dutch New Year frenzy Firework sales for the New Year festivities Began officially at midnight on Friday night One day earlier than normal Because they may not be sold on a Sunday Uh Sales normally run from December 29th to 31st In the Netherlands Like the Sabbath?
575.42 577.08 SPEAKER_09  You can't sell fireworks on the Sabbath?
577.40 580.50 SPEAKER_02  Yeah We can't buy fireworks on the Sabbath I guess It's kind of Yeah
580.50 584.08 SPEAKER_09  You need someone else to light the firework for you On the Sabbath as well
584.08 595.98 SPEAKER_02  That's right Uh The rules for fireworks have become tougher over the years Buyers are now required to buy safety glasses and fuses And cannot purchase more than 25 kilos of fireworks per person Fuck
595.98 609.62 SPEAKER_03  That's so much fireworks, dude That number needs to be lower Yeah Like two I wonder if they put like a wheelie bin outside the door Uh For people to just deposit the safety glasses in As they go back to their car
609.62 614.04 SPEAKER_02  Oh my god Yeah That's a Here You throw these out Situation for sure
614.04 625.94 SPEAKER_03  Yeah And then you You know Sort of every hour or two You can go out and bring them back in You know Bring them around You take the wheelie bin around to the back of the store And then you just Bring it up to the side of the counter And start handing them out again You know
625.94 632.10 SPEAKER_09  Yeah I'm just thinking of the state of the Medical waste bin at the hospital the day after Like that thing is
632.10 632.28 SPEAKER_06  Like a fingers
632.28 633.56 SPEAKER_09  Full of fingers
633.56 637.84 SPEAKER_02  Just a bin full of fingers Just full of fingers Yeah Little Dutch fingers Fat little Dutch fingers
637.84 643.86 SPEAKER_06  Fat little Dutch fingers Just Let's all just 25 kilos How many fireworks are you getting for that?
644.04 652.02 SPEAKER_03  Let's all picture for a second Going to a gym And picking up one of the 20 kilo plates What is a firework way you reckon?
652.38 652.84 SPEAKER_06  A kilo?
653.46 654.14 SPEAKER_06  Less than a kilo
654.14 657.72 SPEAKER_09  Yeah well I'm thinking about I'm thinking about a A roast chook right?
657.90 660.20 SPEAKER_09  That's like one and a half kilos Yeah
660.20 663.20 SPEAKER_03  Just depends on the provenance of the bird I suppose Yeah
663.20 666.62 SPEAKER_09  So imagine like 12 of those Worth of fireworks
666.62 670.48 SPEAKER_06  12 roast chooks Roast chickens Worth of fireworks
670.48 677.44 SPEAKER_03  Yeah In the back of a In the back of one of the What do Dutch people
677.44 680.32 SPEAKER_09  Quick Google What do Dutch people drive?
680.46 682.08 SPEAKER_09  I think it's in the basket of a bicycle
682.08 686.92 SPEAKER_03  No I'm thinking of the classic Red Rooster story we covered Oh absolutely But
686.92 689.18 SPEAKER_09  I feel like everyone gets that
689.18 691.00 SPEAKER_03  Yeah Thank God
691.00 698.84 SPEAKER_02  This is also the maximum weight of explosive Allowable in a private car So
698.84 702.44 SPEAKER_07  Yes they are putting it in the back of their Ford Festiva Yeah
702.44 712.84 SPEAKER_03  Let me just load up the boot Let me load up the boot of my Skoda Yeah With 25 kilograms And these fuses And I'll just leave the glasses here
712.84 715.02 SPEAKER_09  Hoping they don't combine themselves in the back When I go around a corner
715.02 726.04 SPEAKER_02  The type of fireworks which consumers are allowed to set off Has also been limited to types F1 and F2 Which means no Chinese firecrackers No Roman candles And no rockets
726.04 727.20 SPEAKER_06  Oh thank God
727.20 736.92 SPEAKER_02  Thank God Fireworks fans looking for more powerful explosives Head to Belgium Where the rules are not as strict See that's why they're heading to Belgium Yeah Just nipping over the border
736.92 738.00 SPEAKER_06  We're going to hit up Belgium New Year's
738.00 748.52 SPEAKER_02  I knew it I knew it I think Belgium is exporting its New Year's violence to the Netherlands They probably have like the safest one Yeah Because the Dutch people have taken all their fireworks
748.52 759.24 SPEAKER_03  This is like how Americans are scared of the cartel But the cartels are all using American weapons That have been smuggled in You know Yes Yeah It's just like that
759.24 792.96 SPEAKER_02  I've got a little bit more foreshadowing here This is from the NL Times People in the Netherlands Break record from 2022 For most money spent on fireworks People in the Netherlands Spent around 118 million euros on fireworks this year This was reported by the chairman of Belungen Veruniging Pyrotechnik Nederland The Pyrotechnik Association of the Netherlands This breaks the record of 2022 When fireworks importers and wholesalers Had a turnover of approximately 115 million euros According to the Trade Association
792.96 803.26 SPEAKER_03  I'd love to figure out How many euro 25 kilos of fireworks buys you And then we could figure out Like how many tons Of fireworks they've been through
803.26 809.02 SPEAKER_06  I think we're paying Dutch people too much Their wages are too high I think that's the issue We've got to cut that off Yeah
809.02 816.04 SPEAKER_02  Their society is actually too fair Their like income inequality is actually Equality is too good Yeah And they're spending it all on
816.04 853.42 SPEAKER_03  Too much excess money Disposable for fireworks I like the alternative idea though Which is that Dutch people are really tightening the belt year round They're like I know you need back to school supplies Little beyond But Yeah This is taking fireworks off the table Yeah Unfortunately You're going to have to You're going to have to reuse your pencils We'll re-lead those pencils for you Yeah You know You can get your hand-me-down pencil case And we're going to get the full I'll go and get 25 kilos And then your dad will go in separately And get another 25 kilos I'll go back in with a moustache on Yeah You go in there
853.42 855.24 SPEAKER_06  You go down to the shop and get some
855.24 864.28 SPEAKER_03  Your big brother is turning 18 this year So he can go and get 25 kilos You know We're going to be a 75 kilo family this year That's what I'm saying
864.28 934.68 SPEAKER_02  But I don't think this total includes The dark Belgian fireworks either Because this is just from the Netherlands Pyrotechnics Association So I figure they're probably spending another 200 million euros in Belgium It's great for Belgium Grunewald had already predicted That the total turnover would be higher Than in 2023 When around 105 million euros Was spent on fireworks This prediction looks like It will come true Quote It is a fantastic year For the fireworks sector Said Grunewald Good to keep that in mind When we get to Everything else that we're about to talk about Now So This is some reporting from New Year's Day From the day after the carnage This first bit from the NL Times New Year's Eve in the Netherlands Riots Acid and injuries across provinces New Year's Eve celebrations Across the Netherlands Turned chaotic As riots Arson and injuries Were reported in several provinces The unrest included The burning of a police car In Veen Firework explosions Causing severe injuries In Wognum Hospitalizations for Firework related injuries In children with alcohol Poisoning nationwide And widespread incidents Of violence And property damage In cities like Rotterdam, The Hague And Kulemburg
934.68 947.32 SPEAKER_03  Oh I love I love the purge Yeah All these drunk children Firing explosives Burning police cars
947.32 956.06 SPEAKER_02  In the village of Veen Located in the province of Nord Brabant The decades old tradition Of setting car wrecks ablaze Escalated into violence
956.06 960.84 SPEAKER_03  Yeah we'd hate to see Setting car wrecks on fire Getting out of control Become violent Yeah
960.84 969.52 SPEAKER_09  Also they seem Like surprised They lay it out Like a story Every single time And a story That they've never heard Before
969.52 970.18 SPEAKER_02  As if it's novel
970.18 971.70 SPEAKER_09  This is really like
971.70 981.98 SPEAKER_02  Dog bites man news Not like they're reciting A saga Like that they've been Passing down As an oral tradition Since the Chinese Oh like a cycle Like a grand cycle
981.98 982.64 SPEAKER_05  Yeah
982.64 994.54 SPEAKER_02  Near the notorious Witbomstrad Vandalustrad Intersection Where hundreds gathered To witness the annual Car burnings The police vehicle Was destroyed The hundreds gathered
994.54 996.86 SPEAKER_09  To witness the annual Car burnings
996.86 997.04 SPEAKER_02  Incredible
997.04 1001.96 SPEAKER_09  Getting your jet chair out Yeah Oh I need a good spot For the car burning
1001.96 1006.86 SPEAKER_06  Good way to get rid Of your old car I guess Yeah Just drive it down To the car burning spot
1006.86 1027.36 SPEAKER_02  Good for the environment Yeah Around 3am As officers stood Roughly 10 metres From their patrol car Two young men Poured a flammable liquid Into the vehicle And set it on fire According to Eyewitness accounts The mobile unit Intervened Using water cannons To disperse the crowd And secure the area Which was littered With the remains Of eight burned out vehicles Hey stop that
1027.36 1032.06 SPEAKER_09  And just in the nick of time Too Sounds like I think the team said
1032.06 1033.74 SPEAKER_03  Tee hee hee While they were doing it
1033.74 1038.24 SPEAKER_09  Yeah And while they were getting Their bare ass Sprayed with water
1038.24 1078.02 SPEAKER_02  In the North Holland Village of Wognum Two young men Sustained serious injuries When a firework Exploded in a field On Weist-Endeweg Around 11pm A spokesperson For the regional Safety authority Stated the nature Of their injuries Is not yet known In Alphen-Anden-Rhein One of the most Significant incidents Occurred shortly After midnight When a fire broke out In several construction Tailors on Weider-Extrat Flames spread To at least Seven parked cars Before firefighters Gained control Around 1.45am Though no injuries Were reported Residents were alarmed And authorities Assessed the structural Safety of a nearby Scaffolder Department complex Are cars really That flammable?
1078.76 1079.54 SPEAKER_02  Yeah Or are they making
1079.54 1080.86 SPEAKER_06  That extra flammable Than Europe?
1080.86 1084.02 SPEAKER_06  They've got some Flammable stuff in them As far as I understand
1084.02 1084.92 SPEAKER_03  Oh yeah
1084.92 1098.60 SPEAKER_02  They're storing Explosives It's our cars Yeah A separate blaze In Newtdorp Heavily damaged A commercial building On Armbach Earlier in the evening Great name Newtdorp You're supposed to Take these people Seriously Newtdorp?
1099.02 1101.22 SPEAKER_02  No What's become of Newtdorp?
1101.90 1109.24 SPEAKER_06  That's why they have To be so violent Because it's Bjorn From Newtdorp He's got to like Have a release somehow And that's burning a car
1109.24 1114.80 SPEAKER_02  I'm not silly Alright My life isn't silly I sound silly But I'm not
1114.80 1116.88 SPEAKER_06  Actually a silly guy You wouldn't believe it
1116.88 1133.44 SPEAKER_02  By how I speak I am a serious man Yeah The fire primarily Consumed the building's Roof And caused significant Water damage To adjacent businesses No injuries are reported But the cause remains Unclear I think the cause Was having a good time Yeah
1133.44 1134.40 SPEAKER_06  It's too much fun
1134.40 1137.48 SPEAKER_02  Just letting off some steam It's all in the name Of a bit of fun
1137.48 1141.16 SPEAKER_06  Australians seem sensible That's really something Yeah
1141.16 1145.60 SPEAKER_02  Yeah we just do like A race riot Every five years Yeah We just kind of A race riot
1145.60 1147.28 SPEAKER_06  Not every year though
1147.28 1190.82 SPEAKER_02  Yeah Semi Yeah we're not monsters Bi-annual More here from Dutchnews.nl There were a number Of minor incidents During the New Year's Celebrations in the Netherlands And a 14 year old boy From Rotterdam Was killed earlier In the evening Reportedly trying to Relight an illegal Cobra firework Official set on Wednesday morning Don't mess with the cobra That is sad That is unbelievably Fucking sad Yeah Riot police were forced To intervene in several Places and dozens of Cars were set on fire 20 of which were in Utrecht According to local Media reports By 7.30am 17 patients had been Treated at Rotterdam's Specialist Eye Hospital Around half of whom Were minors
1190.82 1192.66 SPEAKER_06  I always forget about The eye hospital
1192.66 1193.52 SPEAKER_02  The eye hospital
1193.52 1197.20 SPEAKER_06  That's just gotta be Open all night On New Year's Eve Yeah
1197.20 1202.00 SPEAKER_03  Worst night of the year For the eye fixing And finger reattaching Hospitals
1202.00 1214.12 SPEAKER_09  Like you think of Firework maiming And you think of Fingers getting Blasted into the Next suburb But you forget About the eyes The little child eyes Getting shrapnel in them
1214.12 1226.24 SPEAKER_02  Because we keep Going back to Like Well because they all Go to the same Specialist Eye Hospital And because this guy Clearly is good at his job And he hasn't gone To another one We keep hearing From the same people Like Dr.
1226.70 1235.66 SPEAKER_02  Turd DeFarber Turd DeFarber Who they talk to Every year And every year Says hey We need to Knock this off Yeah I don't know
1235.66 1240.34 SPEAKER_06  If he believes that I think Turd DeFarber Is making A bit of bank From this By the sounds of it
1240.34 1261.42 SPEAKER_02  I think he gets Paid like the same Not on like A quota of how Many eyes He prepares I guess He's not per Peeper He's not getting Paid per Peeper Yeah Turd DeFarber Said the situation Was similar to last Year and again Called for a National firework ban Yeah but it'll Definitely happen This year Absolutely Keep asking
1261.42 1262.36 SPEAKER_06  You keep asking
1262.36 1266.00 SPEAKER_02  For that Anyway keep up The hard work Yeah thank you For what you do
1266.00 1270.90 SPEAKER_09  Thank you so much For the eyes of the Dutch Love your work Love the feedback Love the comment We'll take it on
1270.90 1322.00 SPEAKER_02  As every year The firework ban Now extended to 19 towns and cities Was widely ignored Most local police forces Had said stopping people Setting off their own fireworks Would not be a priority Yeah In Rotterdam ambulances Were called out 250 times Treating both Firework victims And people who had Been injured in a fight As well as people Who were drunk Or under the influence Of drugs The Port City's Fire Brigade Received 928 reports Of fires Far more than last year And 51 cars Had to be extinguished Huh There were 14 fires In buildings Mainly in sheds And storage areas Okay Outbuildings mostly In Utrecht Riot police Were brought into Quelled trouble In the Overvecht And Canal and Island Districts Where emergency Service workers Were pelted with fireworks At least 13 people Were arrested
1322.00 1326.60 SPEAKER_09  It's the same Story Again and again
1326.60 1331.62 SPEAKER_02  City council officials Said the trouble Was the exception And in most places The celebrations Passed off peacefully
1331.62 1336.06 SPEAKER_03  Like can we get Some scare quotes Around peacefully There Can we get
1336.06 1337.40 SPEAKER_06  Like What's peacefully
1337.40 1342.32 SPEAKER_03  Just know he was injured Yeah peacefully Is in the remaining Eye of the beholder Right
1342.32 1349.74 SPEAKER_02  However The fire brigade Had to deal with 38 car fires Involving 43 vehicles Well up on previous years
1349.74 1354.52 SPEAKER_09  38 car fires Involving 43 vehicles So you're counting
1354.52 1359.88 SPEAKER_02  If like two cars Are next to each other And they're both on fire That's one That's the same car fire Is that one That's one car fire
1359.88 1360.76 SPEAKER_06  Or is it per car
1360.76 1363.98 SPEAKER_02  Well how could you have 38 car fires
1363.98 1380.52 SPEAKER_03  For 43 vehicles If it's one fire per car Do you think your car Insurance premiums Are fucked up If you live in one of these towns They've got to be right And you're going to like Be there over New Year's Are you going to own your car On New Year's Eve Yeah Are you planning to live In the town you live in And continue owning your car Over New Year's Eve Street parking
1380.52 1382.26 SPEAKER_06  Do you park on the street Yeah
1382.26 1383.70 SPEAKER_03  Are you fleeing the Netherlands
1383.70 1387.84 SPEAKER_09  Between the times Of the 31st of December And the 1st of January Yeah
1387.84 1396.52 SPEAKER_03  Now this is important If so We are adding a premium That is roughly The cost of a 2014 Scoda Octavia To your premium
1396.52 1424.72 SPEAKER_02  I've got more here From DutchNews.nl A 46 year old man Who was badly injured In an accident Involving fireworks On New Year's Eve Has died in hospital Woo The man who came from Burin Is the second person To die from a firework injury Dozens of other people Were seriously injured In the annual firework frenzy And 27 people Were treated At Rotterdam Specialist Eye Hospital So you'll note That number has gone up By 10 Since we last mentioned The figure I don't know I'm noticing
1424.72 1433.08 SPEAKER_09  People are dying here So it is very tragic But this man came from Burin Burin Oh sorry Keep going
1433.08 1439.70 SPEAKER_03  Noticing the The repeated use of the word Frenzy Is really painting a picture here
1439.70 1447.86 SPEAKER_06  What else do you call it Like You just have to stay home I already stay home I'm a stay home On New Year's person But this seems like scary Like
1447.86 1449.38 SPEAKER_02  Yeah I'm locking my doors
1449.38 1450.20 SPEAKER_06  Don't go outside
1450.20 1458.18 SPEAKER_02  And this is the final summary So we get a little look At the facts And figures here This comes from DutchNews.nl
1458.18 1459.00 SPEAKER_01  Got some stats
1459.00 1483.46 SPEAKER_02  In total The police were called out To deal with 8,292 incidents And made 245 arrests The fire brigade Was called out To deal with 4,106 fires An increase of 400 on last year 4,000 This year 295 police officers And 49 emergency service workers Were either physically Or verbally attacked That's Don't count verbally Yeah
1483.46 1485.98 SPEAKER_03  Can't say either Yeah
1485.98 1517.34 SPEAKER_02  Just give me a statistic For physical And I'll take that one seriously Some guy being like Peace off Is probably That's probably fine Meanwhile The Dutch Safety Institute Verlijreid NL Said 1,162 people Had been treated For firework Related injuries Which is roughly In line with last year Of these 367 Were taken to hospital With more serious injuries Several dozen people Lost a hand Finger Or part of their foot Oh my Part of your foot Shit
1517.34 1520.26 SPEAKER_09  Several dozen You're stepping on one To put it out
1520.26 1527.38 SPEAKER_02  Or you're just too close When you like Let it off Because you've been drinking Fucking Amsterdam You've been drinking Hoegarden
1527.38 1528.16 SPEAKER_06  Hoegarden
1528.16 1529.16 SPEAKER_02  Grosch Yeah
1529.16 1530.58 SPEAKER_06  I don't think that's Dutch Actually
1530.58 1534.58 SPEAKER_02  Ertinger You've been drinking Ertinger all night Schlitz
1534.58 1541.08 SPEAKER_06  Case of Schlitz You've been having A case of Schlitz 25 kilos I've got 25 kilos Of fireworks
1541.08 1563.70 SPEAKER_02  I've got 25 kilos Of fireworks And I've got Two cases of Schlitz The perfect evening I can't wait To go to bed later With all of my Hands and feet Some 37% Of injuries Were down to Illegal fireworks 27% to fireworks Brought legally In the Netherlands And the rest Is unknown Mystery fireworks
1563.70 1564.44 SPEAKER_08  So that leaves
1564.44 1579.12 SPEAKER_02  Sorry Sorry 30% to illegal fireworks 37% to illegal 27% to legal Which leads us To 64% So 36% We don't know Fireworks of unknown Provenance
1579.12 1586.74 SPEAKER_06  Sometimes I don't Understand other people Like why do you Desire to do this Or is it A peer pressure Situation
1586.74 1591.68 SPEAKER_10  Yeah because It kind of goes Bang It's got to be like Wicked crazy fun Right It's got to be
1591.68 1592.14 SPEAKER_06  All of them
1592.14 1594.54 SPEAKER_10  Not getting Like their hands Blown off
1594.54 1601.84 SPEAKER_06  I guess most people When you put it that way It's like For all those people That died How many people Didn't die How many people Didn't lose A finger
1601.84 1609.72 SPEAKER_09  Just a large minority Of people are getting Their hands blasted off And shrapnel in their eyeballs What percentage of the population Died
1609.72 1612.14 SPEAKER_06  There's probably still Like 12 million
1612.14 1614.70 SPEAKER_02  Dutch people Left So they're fine
1614.70 1622.68 SPEAKER_06  You're saying they can Lose a few limbs If that's what they want This is their culture I think it's beautiful That's true We should respect Other cultures
1622.68 1641.86 SPEAKER_03  Is this the closest Analogy that we have To the purge In modern life Where we have like What is otherwise By all accounts A pretty A relatively Straight laced Culture And they Behave themselves All year And then they go Alright It's fucking savage Time to let loose
1641.86 1643.96 SPEAKER_06  Crazy time It's crazy hour
1643.96 1645.22 SPEAKER_03  Time to release the beast You know
1645.22 1649.60 SPEAKER_09  Aren't you sick of behaving Don't you want to go bat shit
1649.60 1650.48 SPEAKER_06  Yeah
1650.48 1653.44 SPEAKER_09  And we all do We all do
1653.44 1660.92 SPEAKER_06  We all do Australians just do it On like a minor level Like every weekend And I think that kind of Like levels it out A little bit
1660.92 1666.14 SPEAKER_09  And the Dutch Save it up And they have Three to four hours Of uninterrupted Psycho time Yeah
1666.14 1675.24 SPEAKER_03  We just Distribute Our violence And dysfunction On average Across the year In a normal way You know
1675.24 1677.50 SPEAKER_05  In total
1677.50 1688.94 SPEAKER_02  19 towns and cities Have been declared Firework free zones But the impact Has been limited For the card NL director Matajah Backer said
1688.94 1690.18 SPEAKER_03  It's my favourite Card of impact
1690.18 1704.10 SPEAKER_02  Definitely not right We have to ask Ourselves As a society If it is acceptable That every new year More than 1,000 people Including children Are injured And in some cases Scarred for life Meanwhile at the back Someone's yelling at
1704.10 1705.52 SPEAKER_09  Yes it is
1705.52 1708.56 SPEAKER_02  No The country has spoken Sit down
1708.56 1714.88 SPEAKER_03  I think I think the country Is answering you Very clearly On an annual basis I think collectively
1714.88 1716.00 SPEAKER_06  They're not gonna stop
1716.00 1730.52 SPEAKER_03  They love it Like extremely loud And clear You know Yeah Extremely loud Extremely loud And incredibly clear The right wing government
1730.52 1737.50 SPEAKER_02  Has already said It has no plans To introduce A nationwide Fireworks ban Great I mean They wouldn't Would they Yeah Good on them
1737.50 1750.50 SPEAKER_03  It's like 40% of the economy They are the They are the Seventh largest Importer of fireworks In the world Which When you consider What'd you say Ben About 20 million Population
1750.50 1754.36 SPEAKER_02  I think like 12 I think it's like Half the size of Australia I'm pretty sure Yeah
1754.36 1763.24 SPEAKER_03  So I feel like That kind of Puts their relationship To fireworks Somewhere in the realms Of like Australia's Relationship With poker machines
1763.24 1767.42 SPEAKER_06  Do you think There's like a Fireworks lobby That's like Making this happen
1767.42 1781.30 SPEAKER_03  I would be I would be shocked If there weren't Many many people Who made a Fuckload of money There out of it That's the fucking guy The guy that we heard from In like the second article This has been fantastic For the fireworks economy Grunewald
1781.30 1782.70 SPEAKER_09  No no The doctor guy
1782.70 1790.62 SPEAKER_03  He wants this The eye doctor He loves this I think it's Chad and Grunewald The guy's waiting For his annual Eye bonus He gets paid
1790.62 1792.52 SPEAKER_06  Per paper Yeah
1792.52 1798.46 SPEAKER_09  You wait Till you see What he earns It would make Your eye water Yeah the guy
1798.46 1804.62 SPEAKER_03  From The guy from Pyrotechniek Nederland That's just good Clean They've done
1804.62 1812.02 SPEAKER_02  Some polling And like 60% of respondents Nationally Have said that They would vote yes On a referendum To ban fireworks
1812.02 1812.80 SPEAKER_06  Oh really
1812.80 1826.24 SPEAKER_02  Yeah the whole country Is mostly like Please fucking Stop doing this But you know The people that like fun That have a lust for life They're sort of The louder voice Because they're blowing shit up And they're screaming Because they're on fire
1826.24 1831.38 SPEAKER_09  Yeah Yes Yeah And they're leaving the house And they're getting heard Yes
1831.38 1844.26 SPEAKER_02  Hey the Netherlands That's a pretty weird country But it's not the weirdest country We all know The weirdest country Is the United States of America Yeah We check in on those guys In America Watch
1844.26 1860.76 SPEAKER_04  America They don't think they're weird though That's the thing
1860.76 1864.14 SPEAKER_02  They don't It's so funny how they think They're normal How do you know
1864.14 1866.00 SPEAKER_04  What your temperature means Everyone else is wrong
1866.00 1872.24 SPEAKER_02  That number seems crazy to me So you guys mustn't understand it Listen to yourself You sound fucking stupid
1872.24 1881.02 SPEAKER_03  I posted a photo of a can of Diet Coke And a bunch of Americans were like 375 milliliters is the wrong amount For a can to be
1881.02 1884.34 SPEAKER_06  What? What the fuck size are there kids?
