0.00 18.90 SPEAKER_02  Hello everyone and welcome to this, the first free episode of 2024.
177.30 178.94 SPEAKER_06  He's been pumping oil out of his back garden.
179.06 180.66 SPEAKER_06  That's what people won't tell you about, Rishi Sunak.
180.82 182.72 SPEAKER_06  He's been doing his best to fuck OPEC.
182.72 184.32 SPEAKER_04  Some backyard fracking.
184.48 189.86 SPEAKER_04  I mean, this is all highly contingent on the Houthis and the Bab al-Mandab.
190.64 193.98 SPEAKER_04  So maybe fuel prices just go up a bunch.
194.46 200.86 SPEAKER_04  But yeah, for now, it seems that Rishi has, at time of recording, been turning the big inflation dial down.
201.14 202.22 SPEAKER_02  Yeah, that's right.
202.54 204.40 SPEAKER_02  I've been working with the Houthis.
204.40 234.90 SPEAKER_02  Although it is certainly quite interesting to see, and we'll sort of talk about this more in the coming weeks for sure, just how much the global economy has been able to be disrupted by people who have been, let's say, on the receiving end of quite a bit of Anglo-American technology flown and dropped by guys whose combat uniform includes a white Fendi belt.
234.90 242.98 SPEAKER_04  Yeah, there's a few pinch points on this international system of trade and navigation we've built up, and this is a big one of them.
242.98 243.42 SPEAKER_04  Yeah.
244.34 255.42 SPEAKER_02  Anyway, but also, I think one of the other things to consider is we haven't learned much about the global economy, or at least the UK's economy.
255.42 262.88 SPEAKER_02  Other than that, a very small number of companies are able to just capitalize on supply shocks to fuck everyone else.
263.44 276.04 SPEAKER_02  Basically, the way that our economy is set up, especially with our energy companies, is designed to look at supply shocks in the rest of the world and make sure we feel them 10 times as much as we otherwise could.
276.62 276.78 SPEAKER_06  Yeah.
276.92 282.74 SPEAKER_06  Can we cut in the bit of Michael Gamble and Layer Cake saying, the art of good business is being a good middleman.
282.74 283.02 SPEAKER_06  Ta-da!
283.02 293.64 SPEAKER_02  So, I think this is what we have learned, of course, is it wasn't, there's no evidence at all.
293.90 296.96 SPEAKER_02  Now that the inflation is now falling, we can look back on it.
297.16 305.10 SPEAKER_02  Zero evidence at all that any sort of more generous social security spending during COVID had anything to do with it at all, right?
305.10 312.60 SPEAKER_02  This was just fuel prices got more expensive, and then nine guys were able to turn generational wealth into bunker wealth because of that.
312.60 315.14 SPEAKER_04  Five guys plus four more guys.
315.34 315.58 SPEAKER_04  Yeah.
315.90 316.66 SPEAKER_06  Yeah, that's right.
316.72 319.64 SPEAKER_06  Yeah, the burger chain got really rich, and also four other guys.
319.84 322.44 SPEAKER_02  The burger chain got so rich, they added four guys.
322.86 323.58 SPEAKER_06  That's right.
323.68 323.90 SPEAKER_06  Yeah.
324.40 325.22 SPEAKER_06  Yeah, yeah, yeah.
325.92 327.80 SPEAKER_06  They created jobs at five guys.
329.50 331.50 SPEAKER_04  We're not dead naming nine guys here.
331.50 343.88 SPEAKER_02  Well, speaking of that, though, I did also want to talk about one of the things that we've seen in the distance coming down the kind of legislative pipe.
343.88 353.44 SPEAKER_02  We've talked about it on a few episodes, which is the new guidance that forces schools to be weird about gender with children.
353.44 358.86 SPEAKER_04  Hello and welcome to the Transgender Half Hour with Alice Gordor Kelly and Friends.
359.36 372.12 SPEAKER_04  Yeah, so this is kind of the sum total of the effects of having ruthlessly but incompetently politicized the EHRC and a bunch of equality stuff.
372.12 386.88 SPEAKER_04  is that now Kemi Badenok has announced a bunch of guidance at schools, which, as you say, tries to make life more miserable for trans kids in schools.
386.88 387.28 SPEAKER_04  Right.
388.02 394.72 SPEAKER_04  But I think the main takeaway from this is obviously this is very, very bad.
394.84 397.64 SPEAKER_04  It's going to immiserate a lot of people.
398.58 411.66 SPEAKER_04  But it strikes me that we're dealing with the same thing as the Rwanda deal, where you're pushing up against the limits of this envelope of what parliamentary democracy, as currently constituted, you can make happen within it.
412.26 414.52 SPEAKER_04  And you're trying to deliver the impossible.
414.52 426.10 SPEAKER_04  Right. The thing that they actually want to do instead of the admittedly shitty compromise that this is, is, you know, I think it was Janice Raymond who said, like, morally mandate transgenderism out of existence.
426.10 435.28 SPEAKER_04  Right. And much like just putting people on planes to Rwanda, you can't really do that legally within this framework that we've constructed.
435.28 455.38 SPEAKER_04  And I think part of the point of doing this is so that you can like push further and further and further up against it so that once you're in opposition as a conservative party, you can then say from the right, well, this whole, this whole envelope, this whole like framework of liberal democracy or like liberalism in the broadest sense, this is all fucked.
455.38 458.92 SPEAKER_04  And it has to go so that we can immiserate these people properly.
459.52 468.52 SPEAKER_04  And the thing is, that's very compelling to people because the like the strictures of that envelope of that kind of liberalism do make everybody miserable.
468.76 471.42 SPEAKER_02  Just not in that way.
471.62 471.96 SPEAKER_02  Right.
471.96 475.86 SPEAKER_02  It's we want to turn the incipient fascism into much more full bore.
476.56 496.14 SPEAKER_04  Exactly. Exactly. And I mean, sort of the pressing question I submit to any kind of like trans rights movement or anything like that is whether this is the time to, and I don't really take a position on this, make like urgent common cause with the liberalism because the liberalism has a lot of establishment power and people are very fond of it.
496.14 505.04 SPEAKER_04  And you have these kind of like weird soft Tories who met like one nice trans person once and I like, well, I don't see why we should be doing the exterminate the brute stuff on them.
505.04 516.82 SPEAKER_04  Or whether you should be doing the more radical route, which is this whole like system of liberalism is fucked from the left and that's more emancipatory.
517.52 529.40 SPEAKER_04  But in the meantime, I think it's, it's, this is best understood as an, as a drive towards a, like an insurgent sort of like anti-democratic way of doing this.
529.40 541.36 SPEAKER_02  Well, and I think we can look at this as well in the, and we'll, we'll clarify what this is, what the guidance mandates and, and it's not a law, it's guidance and it's guidance that actually breaks a lot of laws, which is great.
542.14 547.28 SPEAKER_04  See, again, the envelope, it like pushes up against the existing constraints of the, you know, the system that we've built.
547.50 548.30 SPEAKER_04  But before we get to this.
548.38 549.28 SPEAKER_00  We're stuck in a big envelope.
550.16 552.44 SPEAKER_00  We need to get out of the envelope.
552.44 561.42 SPEAKER_02  Before we get to the actual, actual description of the, of the, the guidance, it's, it's pretty much what you'd expect, right?
561.66 566.32 SPEAKER_02  No social duty to facilitate, no duty to facilitate social transitioning.
566.32 570.22 SPEAKER_02  So just like wearing a different school uniform, being called a different name and so on.
570.84 576.00 SPEAKER_02  A kind of duty to inform parents as well as their children are like LGBT.
576.00 576.78 SPEAKER_04  Blatly terrible.
577.20 580.56 SPEAKER_04  The, the, the, the soul saving grace of all of this is that none of this is statutory.
580.56 584.94 SPEAKER_04  Um, and schools, school leaders are cowards on this largely.
585.52 588.32 SPEAKER_04  Um, but if you want to, you can ignore this.
588.42 592.86 SPEAKER_04  And I think some schools will, which ought to the good.
593.08 593.58 SPEAKER_02  But also, right.
593.58 605.18 SPEAKER_02  We think about if we, we thought, thought about like the roots of sort of specifically of English transphobia and how it, it, it kicked into overdrive in 2015.
605.18 620.10 SPEAKER_02  And what the function of all those columns was really, whether or not the people writing them knew that, was to get people emotional enough, to angry enough about this, um, and to feel a sense of, of fear about this.
620.48 630.40 SPEAKER_02  Enough that when it comes time to say, well, we need to repeal the Human Rights Act so that, um, you know, they're, so that the children will be protected from the brutes.
630.40 633.64 SPEAKER_02  Um, even though in many cases the brutes are the children, right?
633.92 635.98 SPEAKER_02  Because the Human Rights Act has quite good branding.
636.16 636.62 SPEAKER_02  That's the problem.
637.04 638.30 SPEAKER_02  And we need to do that, right?
638.36 642.72 SPEAKER_02  That they, they have spent the last eight years gathering that base of support.
643.48 644.08 SPEAKER_02  Yeah, absolutely.
644.28 644.40 SPEAKER_02  Yeah.
644.54 649.98 SPEAKER_04  And not just on this, like also on migration, also on like prison stuff, any number of things.
649.98 662.68 SPEAKER_04  Um, and, and I think the, the push to like really do away with these, these things of like, of liberalism, of, of like getting us out of the ECHR, uh, and like, uh, repealing the Human Rights Act.
662.98 667.12 SPEAKER_04  Uh, that's, that's the sort of much darker even than this path.
667.12 680.04 SPEAKER_04  And I, I feel terrible for the, the children most of all, because like you already, if you're a school child in this country, you already go to something called the like business schools grind set academy, right?
680.20 684.08 SPEAKER_04  Where they make you wear some kind of insane uniform and, you know, enforce like.
684.08 687.12 SPEAKER_06  Well, you go to the Hustlers Academy where the headmaster is Andrew Tate.
687.12 692.30 SPEAKER_04  You go to the Hustlers Academy and they enforce like Victorian rules of silence on you.
692.70 696.68 SPEAKER_04  You, you can't piss at any point during the day because it will disrupt your learning.
697.14 700.04 SPEAKER_06  But even if you could piss, you'd have to go into a specific bathroom.
700.36 700.64 SPEAKER_04  Yeah.
700.72 703.96 SPEAKER_04  We've, we've made all of that a bunch more humiliating.
704.10 705.80 SPEAKER_04  At the end of that, you get out of it.
705.88 707.98 SPEAKER_04  Uh, university is incredibly expensive.
708.12 709.02 SPEAKER_04  There are no jobs.
709.44 712.72 SPEAKER_04  Uh, and then on top of all of that, we're going to get your ass with the climate.
712.88 713.74 SPEAKER_04  I mean, it's.
713.94 716.28 SPEAKER_06  And also the school might collapse on you and kill you, of course.
716.28 716.60 SPEAKER_06  Yeah.
716.74 717.22 SPEAKER_04  Yeah, exactly.
717.44 720.66 SPEAKER_04  So, so absolutely, absolutely miserable existence.
720.74 722.28 SPEAKER_04  Even if you're not trans.
722.48 723.64 SPEAKER_06  School's not transphobic.
723.74 725.44 SPEAKER_06  It collapsed and killed all the children equally.
725.62 736.34 SPEAKER_04  But the, the other, the, the, the, the, the, like the sole trans, uh, trans student escapes by being sent to the like special trans port-a-loo outside while the entire school collapses.
737.26 743.90 SPEAKER_02  The, the other thing I want to note, just going, coming back to the guidance itself is how fucking weird it is.
743.90 744.30 SPEAKER_02  Yeah.
744.48 744.62 SPEAKER_02  Yeah.
744.62 745.44 SPEAKER_02  It is weird.
745.44 755.76 SPEAKER_02  One of the, one of the, the things it mandates is that if a student has a preferred pronoun, you can't, you're not being forced to use it, but also it would be bullying to use the wrong one.
755.82 757.96 SPEAKER_02  So you should just always refer to them by name.
758.08 759.22 SPEAKER_02  It's weird.
759.46 761.26 SPEAKER_02  It's so fucking odd.
761.26 761.98 SPEAKER_04  Yeah.
761.98 767.36 SPEAKER_04  I mean, part of it, part of the weirdness of this is, as you say, the compromise of not being able to-
767.36 769.38 SPEAKER_02  Abolition of pronouns in general. Yeah.
769.52 769.66 SPEAKER_02  Yeah.
769.66 773.18 SPEAKER_04  Of like, not being able to do the stuff that you really want to do.
773.18 788.32 SPEAKER_04  I think part of it is also that the government here has been radicalized by some very, very strange people who have like imported wholesale these like strange concepts of like, you know, their idea of what biological sex is, for instance.
788.46 800.18 SPEAKER_04  And so you have this guidance that is full of the, you know, the phrase biological sex in reference to stuff that like doesn't matter, would never come up, would never occur to anyone other than people who are already obsessed with it.
800.18 800.80 SPEAKER_04  You know?
801.30 801.52 SPEAKER_06  Yeah.
801.70 809.68 SPEAKER_06  Well, I've always long thought this about all of this weird transphobia stuff is that the best argument against it is just how weird it is.
809.80 816.42 SPEAKER_06  It's just how straightforwardly just odd it is to care that much about what someone else is doing with their genitals.
816.58 819.72 SPEAKER_06  How just like obviously perverse it is on the face of it.
819.82 827.58 SPEAKER_06  Like you can make any number of moral arguments or whatever, but I feel like the one that cuts through the most just seems to be just like these people are freaks.
827.66 829.20 SPEAKER_06  They're so obviously freaks.
829.20 831.04 SPEAKER_06  Like do we need to go any further than that?
832.24 832.68 SPEAKER_04  Yeah.
832.88 833.60 SPEAKER_04  Yeah, absolutely.
834.18 839.10 SPEAKER_04  And I mean, I don't, I'm sort of of two minds about this, right?
839.10 845.42 SPEAKER_04  Because I know we've said before that like the key to sort of political success on this one is to be normal.
845.66 845.80 SPEAKER_04  Right.
845.86 849.94 SPEAKER_04  And I don't think, I don't think normal has to be like strict normal.
849.94 850.24 SPEAKER_04  Right.
850.26 852.68 SPEAKER_04  I don't mean that in like an assimilationist way.
852.68 871.94 SPEAKER_04  I just mean that like, however weird and fucking queer and like diverse in your like presentation of it you want to get, it will always be more normal than anyone who is like, yeah, no, we need to be doing like genital checks in like primary school bathrooms.
871.94 872.64 SPEAKER_04  You know?
872.78 873.18 SPEAKER_02  Yeah.
873.18 873.60 SPEAKER_02  Like that.
873.66 873.78 SPEAKER_02  Yeah.
873.90 876.86 SPEAKER_02  So this is what Maya Forstater said welcoming the guidance.
876.98 884.72 SPEAKER_02  She said, the most important takeaway is that the normalization of so-called social transition, lying about children's sex is indefensible within a school environment.
884.72 887.22 SPEAKER_02  To which I just have to say, well, wait, why?
887.90 888.26 SPEAKER_02  Why?
888.60 890.82 SPEAKER_02  Why do you need to know that?
891.28 891.40 SPEAKER_04  Yeah.
891.50 900.08 SPEAKER_04  Again, this is a woman who is like famous for being fired, which is an incredible career sort of parlay there.
901.12 902.90 SPEAKER_04  And I just, I did.
902.98 903.16 SPEAKER_04  Why?
903.30 906.00 SPEAKER_04  Why do they need to like justify themselves to you?
906.06 906.86 SPEAKER_04  Mind your own business.
907.26 909.34 SPEAKER_02  Well, the other, the other note on this as well, right?
909.34 918.92 SPEAKER_02  You said this is a compromise position because this is mostly, as I understand it, Jillian Keegan, the education secretary rather than Kemi Badenock.
919.52 928.30 SPEAKER_02  And now because Kemi Badenock, it's interesting to see like Kemi Badenock is now being shown by the right of the party as like, oh, this is a big loss for her.
928.30 928.90 SPEAKER_02  Right.
928.98 939.70 SPEAKER_02  Because she had to do the, she had to do the impossible, which is legislate the legislate, like sort of 33% of the Tory, the sort of this specific kind of Tory dream.
939.90 940.10 SPEAKER_02  Right.
940.52 946.62 SPEAKER_02  Of everyone, of boys wear blue, girls wear pink, everybody, there are no immigrants ever.
946.78 948.34 SPEAKER_02  And trustonomics is back.
948.46 948.58 SPEAKER_02  Right.
948.66 948.80 SPEAKER_02  Yeah.
948.88 954.56 SPEAKER_04  Being, being a Tory minister is miserable because you just get sacrificed on the altar of some like impossible goal.
954.56 960.34 SPEAKER_04  Whether that's, uh, that you have to do like considerable shitty things to try and achieve and then it doesn't work.
960.46 971.12 SPEAKER_04  Like whether that's pretty Patel or Suella Braverman on, on like stopping the boats or migrants, uh, or whether it's Kemi Badenock on this, even Nadine Dorries on the online safety bill, something else was impossible.
971.12 971.80 SPEAKER_04  Speaking of Nadine Dorries though.
972.18 972.46 SPEAKER_02  Yeah.
972.54 973.44 SPEAKER_04  This is the thing, right?
973.48 976.74 SPEAKER_04  Cause we, we did the live show and we, we read her book.
976.74 983.94 SPEAKER_04  And the only interesting thing in Nadine Dorries's book is in the course of all of this, like sour grapes off of office gossip bullshit.
984.16 985.50 SPEAKER_04  She goes, Oh yeah.
985.50 990.44 SPEAKER_04  By the way, Kemi Badenock is being groomed by like a cabal of hard, right.
990.52 998.78 SPEAKER_04  Tory, like dark arts operators to run as like future leader based almost exclusively on, uh, like a transphobic culture war.
998.78 1000.54 SPEAKER_04  And she writes that down and she's like, yeah.
1000.60 1006.72 SPEAKER_04  Oh, and by the way, uh, fucking, uh, MPs having sex on pool tables or whatever.
1007.04 1014.00 SPEAKER_04  So like the fact that it doesn't interest Nadine Dorries and she just mentions it in passing to me speaks much more highly of it.
1014.08 1016.76 SPEAKER_04  Sort of like, uh, veracity, you know?
1017.28 1017.44 SPEAKER_06  Well, yeah.
1017.46 1024.04 SPEAKER_06  Cause I mean, we've talked before about how this stuff is kind of alienating to a lot of the electorate because it is, it is at the end of the day freak shit.
1024.04 1033.36 SPEAKER_06  But it's also like, as much as like, it's not unusual for the Tory party to pick up on any culture war issue in order to like use it to push things further to the right.
1033.70 1039.94 SPEAKER_06  It is quite alien to a lot of the Tory party who are just, they're just right wing in a very different way.
1040.04 1045.66 SPEAKER_06  Like this isn't, if the average Tory MP, this isn't really what you got into being a Tory for.
1045.92 1047.46 SPEAKER_06  Like we kind of were alluding to it earlier.
1047.46 1054.42 SPEAKER_06  Like a lot of Tories are like weirdly liberal about a lot of things because they're, they're kind of like, yeah, be gay, just don't pay tax.
1054.50 1057.18 SPEAKER_06  Like that, that is kind of like a strong Tory bent.
1057.30 1057.84 SPEAKER_06  Like, yeah.
1058.24 1060.46 SPEAKER_06  Well, I love to be at the no tax orgy.
1061.46 1063.06 SPEAKER_04  That's the, the Marx quote, right?
1063.08 1067.00 SPEAKER_04  Is that the end of the day, the English Tory is only enthusiastic about ground rents.
1067.00 1067.28 SPEAKER_06  Yeah.
1067.28 1080.28 SPEAKER_06  Like it has a bit of a, like, and all of the most vocal turfs are kind of like more like liberal, like liberals in the kind of, in the more American sense of being like kind of, second wave feminists who've like gone insane.
1080.54 1084.98 SPEAKER_06  And so, and that's like a really weird marriage because most of those people aren't Tories.
1084.98 1089.40 SPEAKER_06  They're kind of more like Blairite labor people, uh, in the vague sense.
1089.40 1092.46 SPEAKER_06  So it's a very weird, it feels very sort of American.
1093.10 1093.22 SPEAKER_04  Yeah.
1093.34 1103.30 SPEAKER_04  And there's, there's, there's some other stuff going on here too with, um, so, so Scotland has like now dropped the Scottish government has now dropped its appeal on its, uh, gender recognition bill.
1103.30 1108.16 SPEAKER_04  And because I have this like heterodox opinion that this is good because the gender recognition bill was a waste of time.
1108.28 1109.32 SPEAKER_04  It was never going to pass anyway.
1109.86 1120.54 SPEAKER_04  Um, but the point of doing it was also to like push that sort of constitutional envelope in a kind of like orthogonal liberal direction of Scotland should be an independent country.
1120.54 1120.98 SPEAKER_04  Right.
1120.98 1136.64 SPEAKER_04  Um, and you know, now, now that's sort of been abandoned, uh, and yeah, I, I, I, I find sort of the political division on that quite unusual, you know, that you, you have these sort of like SNP sort of leftish liberals.
1136.64 1148.80 SPEAKER_04  Um, and then, uh, like who, who were sort of determined to push this thing forward, um, having had this like really long bullshit parliamentary, like, uh, like passage with it.
1148.80 1160.58 SPEAKER_04  Um, and then, and then you have like Scottish labor dismal as they are going, uh, no, this is not only will we not do it because we're like always pandering to transphobia, but we specifically won't do it because we love the envelope.
1160.58 1166.02 SPEAKER_04  And this envelope has like Scotland and, uh, like the rest of the UK in together.
1166.02 1168.06 SPEAKER_04  And we're not, we're not sort of tampering with that.
1168.28 1170.18 SPEAKER_06  We need to keep Julie Birchall in that envelope.
1170.44 1170.84 SPEAKER_06  Exactly.
1170.84 1171.90 SPEAKER_06  She cannot be released.
1172.16 1172.60 SPEAKER_06  Exactly.
1172.74 1172.90 SPEAKER_04  Yeah.
1172.98 1182.04 SPEAKER_04  So it's, uh, this is the thing I, I, I sort of, one of the things about that bill that I sort of was against was I resented being made into a constitutional issue like that.
1182.30 1186.68 SPEAKER_04  Um, and, and now it seems that I'm, I'm destined to be a constitutional issue either way.
1187.20 1199.00 SPEAKER_04  Um, and I think when the Tories are in opposition, as seems likely, uh, and they're, they're sort of like trying to do the, we should burn this whole system down because it doesn't work and makes everyone miserable from the right.
1199.16 1206.70 SPEAKER_04  That's going to be a lot more dangerous for me than whatever like legislation they're doing, especially when they have a labor government as malleable as Keir Starmer's is going to be.
1206.70 1207.18 SPEAKER_02  Yeah.
1207.32 1211.14 SPEAKER_02  Cause they're, they are going to any outrageous claim they make.
1211.20 1212.66 SPEAKER_02  I'm sort of putting my marker down on this.
1212.78 1220.44 SPEAKER_02  Any outrageous claim they make about a group labor considers to be unimportant, which is a very high number of people, whether that's ethnic minority.
1220.46 1224.42 SPEAKER_02  LGBT people, the left in general, whatever you want.
1224.50 1225.44 SPEAKER_02  And anyone who isn't.
1225.48 1226.32 SPEAKER_02  Almost everyone.
1226.72 1226.82 SPEAKER_02  Yeah.
1226.86 1238.60 SPEAKER_02  Almost everyone is that Starmer's instinct every single time is to say, well, actually, actually, I think you'll find that we are going to crack down harder and he's going to try to outflank them for the right.
1238.66 1239.52 SPEAKER_02  Every single time.
1239.52 1242.32 SPEAKER_05  People have accused my government of being malleable.
1242.58 1251.54 SPEAKER_05  Well, Mr. Speaker, I would like, if the prime minister thinks I'm made of such a fine clay, that I will, I will, I will riposter him by baking myself in a kiln.
1251.78 1253.94 SPEAKER_05  This will be broadcast live on TV.
1254.12 1255.46 SPEAKER_05  I will become so firm.
1255.52 1265.00 SPEAKER_05  I will become brittle and I will have Rachel Reeves apply a fine bone china glaze to me so that I cannot be bent or moved in any way without shattering.
1265.00 1267.22 SPEAKER_04  I think we can get Roe Schmitz to do this.
1267.34 1277.12 SPEAKER_04  Yeah, no, but I think the thing is, too, that this sort of speaks to the general arc of British transphobia, where it's more dismal, right?
1277.16 1290.12 SPEAKER_04  The American culture war stuff, they've tried, the Tory right have had these dalliances with mass mobilization, and TERFs are always trying to radicalize each other to grab people of suspicious genders in bathrooms and stuff.
1290.12 1293.76 SPEAKER_04  But it doesn't really translate to the British mindset as much, I don't think.
1294.36 1309.06 SPEAKER_04  And part of the reason why is that, like, in the US, right, because you have this kind of, like, interventionalist, already radicalized, heavily armed in places kind of, like, movement ready to go, as a trans woman, I would worry about getting, like, murdered, getting murdered, murdered.
1309.06 1312.44 SPEAKER_04  Whereas in Britain, I mostly worry about getting socially murdered.
1313.40 1318.94 SPEAKER_04  We have had an actual trans murder, right, with the sort of, like, consequent horrible press around it.
1318.96 1321.40 SPEAKER_04  And that's thrown all of these people into kind of disarray.
1321.48 1325.80 SPEAKER_04  They don't know exactly how to feel about this kind of, like, maybe Matthew Shepard moment that's happening.
1325.80 1338.54 SPEAKER_04  But meanwhile, they're all quite content for the government to sort of, like, look at, you know, a teenager who wants to transition and sort of hand them the service revolver with one bullet and a glass of whiskey, you know?
1338.62 1341.12 SPEAKER_04  And be like, well, just do for yourself, you know?
1341.68 1342.74 SPEAKER_02  We're not going to do it.
1342.82 1345.02 SPEAKER_02  We're not going to deputize anyone else to do it.
1345.06 1347.96 SPEAKER_02  Yeah, because we're repulsed by that to a point.
1347.96 1356.30 SPEAKER_04  Like, at least now, at least at the moment, we don't want to hear about, like, sort of interpersonal rather than state violence against transphobia.
1356.30 1367.06 SPEAKER_02  So one of the other things I think is sort of that I've noticed about sort of driving British transphobia specifically is how much of it involves deference and sort of people giving improper deference.
1367.20 1369.60 SPEAKER_02  Like, for example, a lot of people are like, well, I didn't have an opinion.
1369.68 1372.80 SPEAKER_02  And I saw how poorly J.K. Rowling was treated, you know?
1372.80 1377.88 SPEAKER_02  Or, oh, well, students should be obeying, you know, their schools.
1378.22 1382.40 SPEAKER_02  And you're able to make this a kind of...
1382.40 1383.70 SPEAKER_02  You're able to make this...
1383.70 1392.28 SPEAKER_02  You're able to shoehorn gender into lots of other issues around hierarchy in the ways that are commonly understood by people, right?
1392.44 1394.80 SPEAKER_02  You're able to say, oh, well, people are being...
1394.80 1396.20 SPEAKER_02  I don't have any problem with it.
1396.24 1397.26 SPEAKER_02  They're just so disrespectful.
1397.46 1398.62 SPEAKER_02  Or I don't have any problem with it.
1398.64 1399.98 SPEAKER_02  Just children need to fall in line.
1399.98 1402.58 SPEAKER_02  Because how much of the...
1402.58 1408.26 SPEAKER_02  I think one of the most dangerous bits of the school's guidance is all about informing parents.
1408.46 1412.30 SPEAKER_02  Because it comes back to, well, parents should be in control of their children.
1412.80 1435.78 SPEAKER_02  And so I think that here, one of the things is there's less of a sense, except among like the big vocal mouthpieces of this whole movement, that there's like, there needs to be an arm, some kind of like, you know, immediate political mobilization, and more of just a sense of tutting that people are not respecting their sort of social betters or people who they should be deferring to in the hierarchy.
1435.78 1444.94 SPEAKER_04  Yeah, yeah. And as with the left, more generally, the only tool that they have for that is we need to make your life sort of like in the round more miserable, you know?
1445.06 1446.54 SPEAKER_02  That's why it's in schools.
1446.98 1455.86 SPEAKER_02  Because in British society, there are a lot of institutions that can compel you in very specific ways.
1455.86 1462.78 SPEAKER_02  But some of the only institutions that can compel you to like dress differently other than jail are schools.
1463.58 1464.06 SPEAKER_04  Yeah, absolutely.
1464.36 1468.68 SPEAKER_02  And so that's where the tool is to sort of force people to be deferential in the way that they want.
1468.96 1471.14 SPEAKER_02  And that's why I think it has this kind of resonance.
1471.38 1475.86 SPEAKER_02  But the resonance is so sort of prickly and resentful and not sort of mass mobilizing.
1476.70 1479.94 SPEAKER_04  Also, because as with the migration stuff, it's futile.
1479.94 1482.56 SPEAKER_04  There is like a demographic thing happening.
1483.14 1487.52 SPEAKER_04  The government is sort of like powerless to stand a thought where it's like migration will increase.
1488.54 1490.62 SPEAKER_04  Trans people will continue to exist.
1490.72 1493.54 SPEAKER_04  And you can try and sort of like force those things not to happen.
1493.64 1497.58 SPEAKER_04  But you're kind of like you're, you know, it's like forcing back the tide, you know?
1497.80 1498.42 SPEAKER_02  It is.
1498.54 1498.78 SPEAKER_02  It is.
1499.02 1506.16 SPEAKER_02  The English governments have a long and proud history of instructing their soldiers to try and fight the sea.
1506.80 1507.42 SPEAKER_06  Well, yeah.
1507.42 1508.26 SPEAKER_06  I mean, I think you're right.
1508.32 1515.32 SPEAKER_06  You're completely right in that sort of like basically if you want to make anything into a big social issue in Britain, you have to fundamentally make it about whether it's cricket or not.
1515.38 1515.58 SPEAKER_06  Right.
1515.60 1516.60 SPEAKER_06  Like that has to be there.
1516.80 1519.72 SPEAKER_06  It has to like play into that kind of sense of social hierarchy or whatever.
1520.06 1528.26 SPEAKER_06  Because if you go to a bunch of like to like Britain is not like a kind of Puritan founded country in the way that America is, where people are scandalized by stuff in the same way.
1528.52 1533.90 SPEAKER_06  Like you can't shock a bunch of Tory backbench MPs by going, by God, there's a bunch of boys at this school dressed up as women.
1534.00 1535.46 SPEAKER_06  That's just a rugby team at a social.
1535.68 1536.14 SPEAKER_06  Like, you know what I mean?
1536.14 1538.90 SPEAKER_06  Like it's not like that's not shocking to people.
