0.00 29.06 SPEAKER_03  Welcome to Punta Vista.
431.26 432.58 SPEAKER_01  They got the right German.
433.62 435.30 SPEAKER_01  They got the right German.
435.68 435.94 SPEAKER_01  You know?
436.58 439.30 SPEAKER_02  I just can't stress enough.
439.36 440.92 SPEAKER_02  Sometimes I wish we did video episodes.
440.92 449.24 SPEAKER_02  It's just the scene of Theo in a perfectly white room with no visible objects of furniture except the chair that he's sitting in.
449.94 450.46 SPEAKER_02  Shirtless.
451.60 454.78 SPEAKER_02  Eating a takeaway bolognese and drinking a beer.
455.18 455.32 SPEAKER_02  Yep.
456.10 463.54 SPEAKER_02  While a sort of like otherworldly white light comes through the windows that doesn't reveal anything of your surroundings.
463.54 469.62 SPEAKER_02  Sort of like you're on some sort of artificial recreation of a human room.
470.10 470.32 SPEAKER_02  Yeah.
470.32 472.88 SPEAKER_01  Kind of makes me think of some of the scenes from Hellraiser.
473.88 476.96 SPEAKER_01  The first one, you know, there's very, very, very white rooms.
477.28 478.98 SPEAKER_01  And then all of a sudden, Pinhead's there.
479.34 479.48 SPEAKER_01  Yeah.
480.10 481.28 SPEAKER_01  And he's like, bang, you're pregnant.
481.28 491.16 SPEAKER_06  I'm in the Matrix, but they're using too much of their computing power to generate full 3D images of pregnant Luigi.
491.74 495.74 SPEAKER_02  Imagine going into the, being like, I need to go into the construct for a while.
496.04 499.10 SPEAKER_02  I need one beer and one bolognese.
499.10 501.34 SPEAKER_02  Ah, I won't be needing a shirt.
504.66 510.80 SPEAKER_01  It seems like the three of us are going to be real close to each other here in Godzilla's stomach.
510.80 512.64 SPEAKER_01  Like, we're going to be neighbours for a while.
513.54 515.28 SPEAKER_01  I hope no disagreements happen.
515.34 519.34 SPEAKER_01  Otherwise, we might have to feature them on the segment, Neighbourhood Dispute Watch.
526.84 534.98 SPEAKER_06  I think we would be neighbours if there was like, um, like a Mothra next door who also had swallowed some tourists.
535.70 540.78 SPEAKER_02  You're saying there's not enough separation within the one belly for us to be neighbours?
540.80 542.16 SPEAKER_02  We're more like roommates?
542.16 542.50 SPEAKER_00  Yeah.
542.50 543.84 SPEAKER_00  We're more like roommates at the moment?
544.40 545.86 SPEAKER_00  Yeah, we're cohabituated.
545.90 547.92 SPEAKER_00  Like cellmates, really, if we're keeping it real.
548.28 548.52 SPEAKER_00  Yeah.
548.90 551.58 SPEAKER_02  And we do keep it real on this podcast.
552.00 552.52 SPEAKER_02  Oh, yeah.
553.06 554.32 SPEAKER_02  You know what I was thinking about the other day?
554.56 555.12 SPEAKER_01  Keeping it real?
555.54 556.94 SPEAKER_02  No, I was thinking about That's What's Up.
556.94 559.06 SPEAKER_02  That's What's Up.
559.06 560.12 SPEAKER_02  That's What's Up low-key fell off.
560.38 562.36 SPEAKER_02  But I think we should bring That's What's Up back.
563.74 564.70 SPEAKER_02  That is What's Up.
565.06 565.38 SPEAKER_02  Yeah.
566.08 568.68 SPEAKER_02  That's What's Up is What's Up, as far as I'm concerned.
568.92 569.88 SPEAKER_01  That is That's What's Up.
569.88 572.24 SPEAKER_02  That's the stuff that's that.
572.86 573.82 SPEAKER_02  That is which that.
574.70 577.16 SPEAKER_02  This is from WPEC in Florida.
577.30 577.98 SPEAKER_02  The pick.
579.20 581.62 SPEAKER_02  Neighbour dispute in Palm Beach Gardens.
582.46 584.20 SPEAKER_02  I'm going to need more information.
584.74 585.54 SPEAKER_02  Oh, good.
585.98 587.84 SPEAKER_02  I'm about to get a shitload of it.
587.84 598.22 SPEAKER_02  A prolonged and escalating dispute between neighbours at Riverside Drive in Palm Beach Gardens has culminated in legal action against Blair Kaluhine.
598.86 602.20 SPEAKER_02  I'm just assuming that that's like an islander name and I'm pronouncing that correct.
602.30 603.54 SPEAKER_02  I could be wildly wrong.
603.66 603.90 SPEAKER_02  We're hoping.
604.16 604.40 SPEAKER_01  We're hoping.
604.96 608.64 SPEAKER_02  Who is accused of harassment, threats, and property damage against a couple.
609.42 614.04 SPEAKER_02  Now, we're students of the human condition.
614.04 631.76 SPEAKER_02  I think it's fair to say the mission statement of this podcast is that we are trying to observe life in all of its forms and sort of see how this crazy, noisy world we live in sort of coalesces sometimes into observable patterns.
631.86 632.44 SPEAKER_02  Is that fair?
632.72 632.88 SPEAKER_06  Yeah.
633.00 639.54 SPEAKER_06  But I think the important part of it is that we are viewing things through a bit of a cracked lens, if you will.
639.82 640.62 SPEAKER_06  A black mirror.
640.62 642.70 SPEAKER_06  A funhouse mirror.
642.70 642.96 SPEAKER_06  Black mirror.
643.26 643.50 SPEAKER_02  Yes.
643.50 646.84 SPEAKER_02  A twisted, cracked, funhouse, black mirror.
647.32 649.12 SPEAKER_02  And it's a little silly.
650.26 652.82 SPEAKER_01  I think, you know, we're kind of sociologists.
653.34 653.54 SPEAKER_01  Yes.
653.54 655.16 SPEAKER_01  We're kind of anthropologists.
655.44 655.68 SPEAKER_01  Yes.
656.02 662.28 SPEAKER_01  But at our core, we're humanists, but not in the really annoying way that some people describe themselves as humanists.
662.72 664.10 SPEAKER_02  No, it's like a chill humanist.
664.10 680.44 SPEAKER_02  We're kind of like the protagonist of one of Ursula K. Le Guin's Hanish cycle novels where we're visiting from a world and sort of observing passively and with love, I think, the goings on of the world around us.
680.44 680.88 SPEAKER_06  Yeah.
680.88 686.50 SPEAKER_06  And this is going to go on week after week straight to your ears until the first one of us kills ourselves.
686.82 687.10 SPEAKER_06  Yes.
687.10 695.00 SPEAKER_02  We have closed the betting pool on that because it was getting pretty grim and also really, like, really one-sided.
695.00 712.78 SPEAKER_02  I think what I was trying to say there three minutes ago is that one of these repeating patterns I think we observe is that sometimes this society demands that we have to live near and with each other.
712.78 716.34 SPEAKER_02  And most of the time, this is good, you know, it brings about community.
717.14 727.36 SPEAKER_02  But sometimes when you put two people, two groups of people next to each other, there's something that can go wrong or awry and it makes people absolutely fucking insane.
728.02 738.50 SPEAKER_02  I think probably the best example of this that we've ever encountered was probably Liam Bain, which I think was in an episode we just unlocked.
738.62 740.50 SPEAKER_02  The three twins situation, I'm pretty sure.
740.50 743.74 SPEAKER_02  Oh, this is a bonus episode anyway, so you probably would have heard it.
743.80 746.66 SPEAKER_02  If you haven't, go back and listen to the three twin situation.
748.22 756.50 SPEAKER_02  Liam Bain was a character we discovered, a real man, a real living human being, but definitely a character in the UK who...
757.96 758.52 SPEAKER_02  Oh, yeah.
758.90 760.16 SPEAKER_02  He lived in a cul-de-sac.
760.26 761.10 SPEAKER_02  Mr. Bain, yeah.
761.10 762.76 SPEAKER_02  And he was fucking insane.
763.02 765.04 SPEAKER_02  And he drove the people around him insane.
765.04 770.40 SPEAKER_02  And what was once a sort of quiet village cul-de-sac became a nightmare.
770.56 772.48 SPEAKER_02  And I think we found a sort of similar situation here.
772.48 774.04 SPEAKER_01  A Lovecraftian hub of paranoia.
775.02 775.98 SPEAKER_02  Yes, and terror.
777.74 784.04 SPEAKER_02  The family's attorney, Michelle Suskauer, told CBS 12's Katie Bente...
784.04 784.90 SPEAKER_02  Bente?
785.26 789.00 SPEAKER_02  ...that the suspect didn't just cross a line, he set fire to it.
789.06 789.64 SPEAKER_02  Don't do that.
790.00 790.90 SPEAKER_02  We need that line.
790.90 796.92 SPEAKER_02  Quote, this neighbour, this man, for no reason that we could even fathom, targeted this family.
797.24 802.08 SPEAKER_02  He seemed to be obsessed with this family and every day would do something else, said Suskauer.
802.46 807.74 SPEAKER_01  Now look, I'm not defending this guy, but I will say, you gotta stay busy.
808.50 808.78 SPEAKER_00  Yeah.
809.20 809.48 SPEAKER_00  You know?
809.72 814.36 SPEAKER_06  I honestly want to find out what the vibes on the family are before I make any kind of decision.
814.76 814.96 SPEAKER_01  Yes.
815.02 815.96 SPEAKER_01  What did you do?
816.08 817.58 SPEAKER_01  What did you do to make him mad?
817.58 820.88 SPEAKER_02  Would a person go absolutely insane for no reason?
821.34 822.52 SPEAKER_01  For no reason at all.
822.92 823.94 SPEAKER_01  Show me some precedent.
824.08 825.36 SPEAKER_01  Show me some precedent for that.
825.62 825.82 SPEAKER_01  Yeah.
826.52 833.14 SPEAKER_02  The conflict began in early 2024 when the victim parked a vehicle on the Swale to allow access for construction at his home.
834.12 834.66 SPEAKER_01  All right.
834.94 836.40 SPEAKER_01  Are we all Googling Swale?
836.40 838.44 SPEAKER_01  Are we going to stop the show for a second or we'll Google Swale?
838.44 839.98 SPEAKER_06  You guys Google the Swale.
840.06 841.80 SPEAKER_06  I'm finished my bolognese, so I'll put my shirt on.
841.80 842.00 SPEAKER_06  Okay.
842.38 843.42 SPEAKER_01  Swale is a...
843.42 846.32 SPEAKER_01  This is according to Google's AI overview.
846.32 850.50 SPEAKER_01  Thanks for putting this up the top of every search result now.
850.82 851.04 SPEAKER_01  Yeah.
851.06 851.50 SPEAKER_01  Fuck off.
851.78 858.54 SPEAKER_01  A Swale is a low-lying channel that can be natural or man-made and is used to move water and manage stormwater.
858.82 861.00 SPEAKER_01  So it looks for all the world like a bit of a ditch.
861.22 862.04 SPEAKER_01  That's the ditch.
862.22 863.76 SPEAKER_01  A ditch where some water goes.
864.12 864.30 SPEAKER_02  Okay.
866.30 873.30 SPEAKER_02  Kaluhine, his neighbor, left a note informing the owner of the car that parking in the Swale was not permitted.
873.30 873.74 SPEAKER_02  Okay.
874.74 881.04 SPEAKER_02  So this guy's parked in the Swale and Kaluhine has been like, hey, buddy, don't park in the fucking Swale.
881.24 883.86 SPEAKER_01  Don't park in the ditch where the water and mud is.
884.18 884.36 SPEAKER_01  Yeah.
884.42 885.76 SPEAKER_01  We've got to keep that tidy.
886.22 886.42 SPEAKER_01  Yeah.
886.48 891.30 SPEAKER_06  Thanks for saying it as well just to get me like seamlessly caught back up.
892.74 897.30 SPEAKER_01  And just for the listeners' benefit, Theo is now be-shirted again.
897.30 901.02 SPEAKER_01  So update that image in your mind's eye now.
901.38 905.10 SPEAKER_02  And no bolognese sauce on the shirt either because he took it off while he was eating.
905.26 906.16 SPEAKER_01  Smart, right?
906.38 906.96 SPEAKER_01  Flawless system.
907.28 916.44 SPEAKER_01  I'm such a big adherent to the apron the whole time that I'm cooking and doing stuff in the kitchen now because it's always the very last moment.
916.86 917.10 SPEAKER_00  Yes.
917.10 924.98 SPEAKER_01  Like I was cooking something that was like maybe tomato based a little while ago and had done the whole thing.
925.08 929.52 SPEAKER_01  We'd eaten dinner and then I was just like putting the leftovers into a Tupperware container.
929.92 937.56 SPEAKER_01  And it was the last spoonful of stuff that went into the Tupperware container where a blob of it went bloop and hopped straight out.
937.76 938.56 SPEAKER_02  That's there for life.
938.68 939.66 SPEAKER_01  Dead center on my shirt.
939.76 941.64 SPEAKER_01  No, I'm like I'm all over it now.
941.76 943.32 SPEAKER_01  I whipped that shirt off instantly.
943.32 945.12 SPEAKER_01  I'm into the laundry.
945.80 947.28 SPEAKER_01  I'm washing it with some detergent.
947.38 948.30 SPEAKER_01  I'm rinsing it right out.
948.38 949.80 SPEAKER_01  If you get onto it, quick smart.
950.42 951.98 SPEAKER_01  Bit of dishwashing liquid, you know?
952.78 953.78 SPEAKER_01  You sort that shit out.
954.16 959.72 SPEAKER_02  You can just sort of do what I do, which is you just sort of set a precedent as kind of being a kind of guy that would have stains all over his clothes.
959.92 960.06 SPEAKER_01  Yep.
960.40 962.12 SPEAKER_01  And then it's just kind of built in.
962.54 963.10 SPEAKER_01  Built into your life.
963.54 967.02 SPEAKER_02  It's like, oh, did you get olive oil on your shirt and that's why it will never ever come out?
967.14 967.64 SPEAKER_02  Like maybe.
968.30 970.94 SPEAKER_02  I was like, hey, he's wearing another one of his shitty shirts.
970.94 979.94 SPEAKER_02  This initial interaction set off a series of hostile encounters that the Palm Beach Gardens Police Department explained in its probable cause affidavit.
980.82 988.06 SPEAKER_02  Following the parking incident, the affidavit said Kalua Hine installed commercial strength lighting aimed directly at the victim's master bedroom.
989.52 990.04 SPEAKER_01  Wow.
991.32 994.34 SPEAKER_02  Causing them to install blackout film on their windows.
994.72 995.22 SPEAKER_02  Jesus Christ.
995.22 999.52 SPEAKER_02  I mean, or you could, where are the, so they're installed on his property, I assume.
999.52 1001.26 SPEAKER_02  Yeah, pointing directly into their windows.
1001.42 1001.78 SPEAKER_02  Oh, what?
1001.94 1002.64 SPEAKER_02  My photons?
1003.02 1005.18 SPEAKER_02  My photons are going over into your property?
1005.48 1006.22 SPEAKER_02  Oh, I'm sorry.
1006.54 1007.88 SPEAKER_02  Let me go collect my waves.
1008.26 1010.60 SPEAKER_01  Classic I'm not touching you situation.
1010.68 1010.98 SPEAKER_01  Yeah.
1011.34 1011.62 SPEAKER_02  Yeah.
1011.96 1012.56 SPEAKER_02  Except they are.
1012.82 1013.44 SPEAKER_02  They got mass.
1015.50 1021.64 SPEAKER_02  The situation escalated further when Kalua Hine erected a f***ing flagpole.
1021.64 1022.20 SPEAKER_02  Take that one again.
1022.20 1022.44 SPEAKER_02  Victims.
1023.34 1024.36 SPEAKER_02  Beep that part out.
1024.36 1027.98 SPEAKER_02  On the victim's property, leading to a heated confrontation.
1028.54 1030.36 SPEAKER_02  That's a, that's a strong move.
1030.96 1033.86 SPEAKER_02  Putting up a flagpole in your neighbor's yard.
1034.08 1036.66 SPEAKER_02  Hey, who would plant a flag on someone else's land?
1039.52 1046.68 SPEAKER_02  Kalua Hine's behavior included yelling expletives, playing loud music, and dumping yard debris on the victim's property.
1047.56 1049.96 SPEAKER_02  Classics of the like, neighbor dispute genre.
1049.96 1065.70 SPEAKER_01  Yeah, I was just kind of thinking to myself about how like, if both neighbors engage, and are kind of like equal participants in it, like that's when you would potentially get like a situation that you might make a comedy movie out of.
1065.72 1066.36 SPEAKER_01  Yeah, absolutely.
1066.56 1068.18 SPEAKER_01  Maybe you'd call it bad neighbors.
1068.18 1068.92 SPEAKER_06  Maybe even a black comedy, yeah.
1069.10 1069.24 SPEAKER_01  Yeah.
1069.32 1069.62 SPEAKER_01  You know?
1069.62 1076.80 SPEAKER_01  But when it's just one guy doing it, it doesn't really have that, that fun kind of tone.
1077.04 1079.10 SPEAKER_06  Good fences make good neighbors.
1079.40 1079.54 SPEAKER_01  Yeah.
1079.76 1082.76 SPEAKER_06  And these neighbors tore their f***ing fence down.
1082.94 1083.30 SPEAKER_01  Yes.
1083.42 1085.04 SPEAKER_01  It's a little more psycho.
1085.50 1089.14 SPEAKER_01  Like, um, have you ever seen the, have you ever seen the movie The Fan, Ben?
1089.78 1091.06 SPEAKER_02  No, I never have.
1091.14 1091.58 SPEAKER_02  Really?
1091.72 1092.56 SPEAKER_01  Get on that, man.
1092.58 1093.42 SPEAKER_01  Is that like Swimfan?
1093.42 1093.52 SPEAKER_01  Robert De Niro?
1093.70 1094.90 SPEAKER_01  Benicio Del Toro?
1094.90 1098.58 SPEAKER_02  Oh, I love a Benicio Del Toro.
1098.84 1109.42 SPEAKER_01  It's, uh, yeah, it's just, um, Robert De Niro as a, as a sports fan and knife salesman going, going absolutely insane over the course of the movie.
1109.96 1114.30 SPEAKER_01  Um, but hey, if they were both obsessed with each other, might've been more fun.
1114.66 1115.02 SPEAKER_03  Yes.
1115.76 1116.02 SPEAKER_01  Yeah.
1117.28 1120.00 SPEAKER_00  This is more akin to a horror story.
1120.28 1122.30 SPEAKER_00  Hey, I get scared when you say that, okay?
1122.30 1130.38 SPEAKER_02  During the heated confrontation over the flagpole on March 12th, 2024, Kalua Hine allegedly told the victim's wife.
1130.88 1136.18 SPEAKER_02  Now, I'm just guessing based on the, the, the Grawlixes?
1136.60 1137.84 SPEAKER_02  Is that what those are called?
1139.52 1140.00 SPEAKER_02  Grawlix.
1140.22 1143.94 SPEAKER_02  When you have, uh, characters in place of a profanity.
1144.24 1144.40 SPEAKER_01  Yeah.
1144.40 1145.08 SPEAKER_01  That's a fun.
1145.26 1146.14 SPEAKER_01  That's a fun term.
1146.44 1149.20 SPEAKER_01  I've already, I've already made my own assessment of this, Ben.
1149.20 1152.00 SPEAKER_01  So I'll let you know at the end if there's any difference in opinion.
1152.00 1152.34 SPEAKER_01  Okay.
1152.66 1152.94 SPEAKER_02  Okay.
1152.94 1154.30 SPEAKER_02  This is what I think it is.
1154.54 1156.66 SPEAKER_02  Go ahead and call the fucking police.
1156.72 1158.66 SPEAKER_02  You fucking fat bitch whore.
1158.92 1159.84 SPEAKER_02  Fucking cunt.
1160.22 1160.58 SPEAKER_02  Spot on.
1161.14 1162.32 SPEAKER_02  Is that, you reckon that's correct?
1162.52 1162.78 SPEAKER_00  Yep.
1163.04 1163.26 SPEAKER_00  Yep.
1163.68 1164.06 SPEAKER_02  Yeah.
1164.18 1165.26 SPEAKER_06  We've kind of had to piece that together.
1165.36 1166.26 SPEAKER_06  So that's a bit rude.
1166.54 1170.12 SPEAKER_06  So let me just make sure I haven't missed any of this.
1170.54 1172.92 SPEAKER_06  So they parked their car in the wrong spot.
1172.96 1173.54 SPEAKER_06  In the swale.
1173.84 1174.50 SPEAKER_06  In the swale.
1174.50 1174.94 SPEAKER_06  Yeah.
